DIRECTIONS,CONDITIONS,MEAN,STD,MIN,MAX
Right,ActuatedBed,18.234436,16.62414452053164,1.439955@P14,68.22291333333334@P12
Right,NormalBed,5.763274329166666,9.534383545900987,0.24255766666666667@P10,38.94354333333333@P5
Up,ActuatedBed,2.7886447502083334,2.245772705122625,0.3333806666666667@P14,6.9223403333333335@P5
Up,NormalBed,3.0097362464583335,2.328881193236291,0.19731483333333333@P10,7.5333499999999995@P9
Left,ActuatedBed,17.754501520833333,11.12621891914438,2.1653266666666666@P14,38.18955@P5
Left,NormalBed,4.471096001875,4.253815591134233,0.35963299666666665@P10,14.971535566666667@P5
Down,ActuatedBed,4.52353292,3.3857495519772374,0.5332745@P14,13.92306@P16
Down,NormalBed,4.973364800000001,5.3485681661975155,0.2772819@P14,19.265856666666668@P7
