DIRECTIONS ,TTEST                 ,WILCOXON
Right      ,0.028731639661292475  ,0.0301513671875
Up         ,0.796786635665067     ,0.743560791015625
Left       ,7.993216319976895e-06 ,6.103515625e-05
Down       ,0.1904829829612038    ,0.2978515625
Yaw        ,9.450341927645981e-06 ,7.006339728832245e-06
Pitch      ,0.23880307718573576   ,0.28651781333610415
