DIRECTIONS ,CONDITIONS  ,MEAN   ,STD
Right      ,ActuatedBed ,3.625  ,1.9621416870348583
Right      ,NormalBed   ,4.125  ,2.0289570391377603
Up         ,ActuatedBed ,4.25   ,2.4083189157584592
Up         ,NormalBed   ,3.8125 ,2.344319375284292
Left       ,ActuatedBed ,3.375  ,1.6683325008322931
Left       ,NormalBed   ,4.75   ,2.206052281036573
Down       ,ActuatedBed ,4.1875 ,1.5152007567755943
Down       ,NormalBed   ,5.0625 ,2.2940139493908926
