DIRECTIONS,TTEST,WILCOXON
Right,0.32523366076475246,0.3209860128063162
Up,0.41699658624625735,0.4641087140633334
Left,0.02217316555368298,0.020845306912409788
Down,0.19477638722833593,0.19490320425951324
