DIRECTIONS,CONDITIONS,MEAN,STD,MIN,MAX
Right,ActuatedBed,76.3556208888889,27.737115932590335,18.55542@P14,121.61925@P12
Right,NormalBed,63.92727433333333,25.30954202341522,10.187303333333334@P14,112.66980000000001@P5
Up,ActuatedBed,38.04282239583333,15.798056989365671,15.111096666666667@P14,76.34498333333333@P9
Up,NormalBed,37.39113904166667,15.290546791988236,8.461468@P14,71.97049000000001@P9
Left,ActuatedBed,73.2306315625,26.735561393677255,26.72914@P14,127.3355@P7
Left,NormalBed,56.182134125,22.850426427015957,10.382700999999999@P14,99.75233@P7
Down,ActuatedBed,44.80088104166667,18.50572449604194,12.12655@P10,83.345535@P7
Down,NormalBed,41.002353875,24.8058161902638,8.009473999999999@P14,94.80496333333333@P7
