DIRECTIONS,TTEST,WILCOXON
Right,0.12036937581276787,0.12133525035848211
Up,0.6803796099396455,0.6971636896799782
Left,0.0026404417848749475,0.006745749285831017
Down,0.17279394437849926,0.20492197280088997
