APPLICATIONS,CONDITIONS,MEAN,STD
Ecosphere,ActuatedBed,2.625,2.3909551787239063
Ecosphere,NormalBed,2.875,2.3629078131263044
HyperDash,ActuatedBed,3.6875,1.9906029237394383
HyperDash,NormalBed,5.125,2.473189573539939
