Direction,Condition,Mean,Std
Right,ActuatedBed,2.764705882352941,1.855040827202527
Right,NormalBed,3.9411764705882355,2.2212211797594055
Up,ActuatedBed,3.823529411764706,2.2145906539823295
Up,NormalBed,4.117647058823529,2.368605943935601
Left,ActuatedBed,3.1176470588235294,2.368605943935601
Left,NormalBed,3.8823529411764706,2.2327772207829106
Down,ActuatedBed,3.823529411764706,2.377900705392444
Down,NormalBed,5.588235294117647,2.6234238965856185
