Direction,Condition,Mean,Std
Right,ActuatedBed,0.6,1.5776212754932308
Right,NormalBed,0.5,1.5811388300841898
Up,ActuatedBed,0.85,1.6674997917707683
Up,NormalBed,0.7,1.5670212364724212
Left,ActuatedBed,0.6,1.3498971154211057
Left,NormalBed,0.6,1.5776212754932308
Down,ActuatedBed,0.5,1.5811388300841898
Down,NormalBed,0.6,1.5776212754932308
