Direction,paired-t,wilcoxon
Right,1.1796336674172846e-06,6.103515625e-05
Up,0.010467013463477361,0.012451171875
Left,1.1106256234347631e-07,6.103515625e-05
Down,0.3861530561386548,0.48870849609375
