App,Condition,Mean,Std
Ecosphere,NormalBed,7.147324376249823,6.424139314574714
Archery,NormalBed,12.685285204652557,12.541189162406647
Ecosphere,ActuatedBed,11.656497902801886,10.896242897284067
Archery,ActuatedBed,11.694768860540151,10.782914254833564
