Participant,T1_Right_ActuatedBed,T1_Up_ActuatedBed,T1_Left_ActuatedBed,T1_Down_ActuatedBed,Summative_T1_ActuatedBed,T1_Right_NormalBed,T1_Up_NormalBed,T1_Left_NormalBed,T1_Down_NormalBed,Summative_T1_NormalBed,T2_Right_ActuatedBed,T2_Up_ActuatedBed,T2_Left_ActuatedBed,T2_Down_ActuatedBed,Summative_T2_ActuatedBed,T2_Right_NormalBed,T2_Up_NormalBed,T2_Left_NormalBed,T2_Down_NormalBed,Summative_T2_NormalBed,Ecosphere_ActuatedBed,Ecosphere_NormalBed,Archery_ActuatedBed,Archery_NormalBed
P1,4.752225669165775,5.329443682353158,3.476908335069932,8.611349732038796,22.169927418627662,4.439132971459702,6.324950609051519,6.083832924249038,8.20839582985398,25.05631233461424,3.2022713950924273,2.9687763258082547,3.7504109192937696,6.717646256555748,16.6391048967502,3.518957848649222,8.950889193876819,6.415701541308196,10.28093443315044,29.166483016984678,2.886527106554983,2.5107629335797683,3.0073710498050676,2.6930827314132726
P2,22.072124629811135,40.26305496313588,18.02290483163891,12.363738054823925,92.72182247940985,44.568704348511716,71.69841691749279,50.10866872457628,100.68960528141257,267.06539527199334,37.560797870243206,17.22000099833613,20.800935502475784,24.805586696242486,100.3873210672976,56.79565875595863,42.38998415573002,42.03356523962566,34.91220235445349,176.1314105057678,26.95190966509925,22.384130965956135,23.089430881922613,16.062215153340116
P3,6.6470395147690295,6.692102415882659,5.672298029768631,4.662228618742887,23.673668579163206,4.98076936144776,3.292792021886918,5.209563784916649,6.2336639327623695,19.716789101013696,3.3057259526708807,4.422921882159082,3.2703131819037528,4.526353265158353,15.525314281892069,5.098987396396883,3.715506417329647,4.432441998556016,6.354206493454942,19.601142305737486,1.8143145102265854,1.7559245952055262,4.013062341646882,5.682167250236806
P4,10.157740371092354,6.218453193593566,10.434302464421641,25.893494476245127,52.70399050535269,15.44393883626977,5.523549542766282,34.01633325730437,13.408570307521561,68.39239194386198,9.931145577495737,5.714752077845051,13.164385382659654,13.175213716101931,41.98549675410237,13.15897720533102,5.606938358195845,13.771161219329475,9.51498047571703,42.05205725857337,6.384108740180943,4.8377380235265806,8.339880202729116,13.840399279054843
P5,8.146423932707448,4.096767826245112,4.687892755045597,12.585155772726951,29.516240286725107,5.963393610496067,4.242326213769921,5.201221604016646,15.153364717299787,30.56030614558242,5.108968412240088,2.924171304379851,3.2244517027745134,8.688178704101766,19.945770123496217,3.082827058500985,3.998309593843942,5.437384673171071,9.822215810989455,22.340737136505453,3.873322329385009,3.0116598884227828,5.5149015853638375,7.399746535652988
P6,55.87779909352099,28.6431775298336,30.29814544676882,26.68347476699987,141.50259683712326,41.60245389017095,27.152449435481014,48.91970296764055,21.476355708094328,139.15096200138686,13.274450392761485,19.782620042417552,32.177232490701556,15.267504547053356,80.50180747293396,28.25434446767047,25.260537776931812,53.26554322074909,8.86516560954855,115.64559107489993,5.757749707268627,4.972199594336189,18.94149269538248,21.36890663088335
P7,12.868515909311613,8.401424285185767,9.538907598260938,9.051798980857244,39.860646773615564,61.87068835890712,8.497031885847626,16.180994793572598,30.053703000101063,116.6024180384284,23.031465648891892,26.965246372340133,23.031465648891892,25.828823604135557,75.82553562536759,58.03136348843497,25.991507783702914,15.34479730740382,58.7619798571257,158.1296484366674,13.99627693551348,4.96195894915093,18.019318104742144,16.422090219706675
P8,15.204704356413975,4.331201135900932,21.1531167044599,14.246878922043885,54.93590111881869,2.890669700308565,3.025199048153491,3.2275276255227063,4.252656588804921,13.396052962789684,6.606932390944693,7.440133093440244,6.173279945390545,9.366284849551437,29.586630279326922,4.554301566968814,2.7339504141744255,5.293221428249506,4.76934723360445,17.350820642997196,7.88302401509637,4.50244562881859,6.7352205779551015,3.213506663781788
P9,45.87250001264582,33.81659855826337,13.629760424784951,8.728276565574832,102.04713556126897,15.409862254849115,18.893786338104785,24.063541429979114,7.454388433793973,65.821578456727,17.345589215655256,25.993786038262186,19.592456582831332,10.143115018974271,73.07494685572304,26.279920316292145,12.312343276411257,13.045240565918666,5.190924309119411,56.82842846774148,2.4969015911146806,1.6930165669059871,3.9249580499901646,5.985168285392315
P10,15.689870017863045,7.1896863136427305,15.609330155332135,22.76319221567851,61.25207870251643,3.9499169078752483,11.896807434647632,18.35328643066884,29.089426344413756,63.28943711760547,7.465559913925988,8.769399286879432,8.34386563335034,27.146882793152635,51.725707627308395,8.561311203261727,6.1315180358375345,10.921793024873455,28.643644175419954,54.25826643939267,2.2928970433353277,1.8722700790801183,2.8535840827769294,16.940436006857738
