Direction,Condition,Mean,Std
Right,NormalBed,21.890302670023914,20.184408147174832
Right,ActuatedBed,16.319001141972084,14.766224539973116
Up,NormalBed,17.822962051150203,20.401230026164885
Up,ActuatedBed,12.945464502091134,11.623831890386796
Left,NormalBed,22.56166192281659,17.010778041221567
Left,ActuatedBed,14.474842050983481,9.59373762077083
Down,NormalBed,22.806095328164975,23.97121694842314
Down,ActuatedBed,13.222475995171102,6.65262983251371
