Direction,Condition,Avg,Std
Right,NormalBed,4.219943022222222,4.486742144309746
Right,ActuatedBed,13.216911403703703,4.502487796353471
Up,NormalBed,2.796557114814815,1.226720529710072
Up,ActuatedBed,1.7422049444444445,1.0886256208547387
Left,NormalBed,4.939714892592593,4.403883881180853
Left,ActuatedBed,15.857776337037036,7.421632925609391
Down,NormalBed,3.806150329629629,2.3193955745111063
Down,ActuatedBed,2.671135551851852,1.6018847948022454
