Direction,paired-t,wilcoxon
Right,0.006484415819231644,0.0075644317890658985
Up,0.6112223230814011,0.6904447840736186
Left,0.14307675676672937,0.15703968380568156
Down,0.00011553472549422356,0.0017329173059181884
