Direction,tCount,MaxViewingRange,StartVector,EndVector
Left,1,-74.15862,(-0.04* 1.00* 0.01),(-0.07* 0.26* 0.96)
Left,2,-78.92841,(-0.03* 1.00* 0.00),(-0.08* 0.19* 0.98)
Left,3,-81.22784,(-0.04* 1.00* 0.01),(-0.08* 0.14* 0.99)
DownRight,1,66.21121,(-0.03* 1.00* 0.01),(0.59* 0.43* -0.69)
DownRight,2,61.75242,(-0.04* 1.00* -0.01),(0.56* 0.49* -0.67)
DownRight,3,65.52911,(-0.03* 1.00* 0.01),(0.58* 0.44* -0.69)
UpLeft,1,-43.37873,(-0.02* 1.00* 0.01),(-0.50* 0.71* 0.49)
UpLeft,2,-43.38356,(-0.02* 1.00* 0.00),(-0.50* 0.72* 0.49)
UpLeft,3,-37.45509,(-0.04* 1.00* 0.02),(-0.46* 0.77* 0.45)
Down,1,-37.3379,(-0.03* 1.00* 0.02),(0.58* 0.81* 0.00)
Down,2,-39.86026,(-0.01* 1.00* 0.01),(0.63* 0.77* 0.01)
Down,3,-44.29885,(-0.03* 1.00* 0.00),(0.68* 0.74* 0.00)
UpRight,1,45.53685,(0.00* 1.00* 0.01),(-0.55* 0.70* -0.44)
UpRight,2,45.41625,(-0.04* 1.00* -0.01),(-0.57* 0.67* -0.46)
UpRight,3,44.61608,(-0.05* 1.00* 0.01),(-0.57* 0.69* -0.45)
Right,1,72.67011,(-0.05* 1.00* 0.02),(-0.14* 0.31* -0.94)
Right,2,75.7094,(-0.05* 1.00* 0.00),(-0.14* 0.24* -0.96)
Right,3,74.57513,(-0.05* 1.00* -0.02),(-0.14* 0.24* -0.96)
Up,1,-38.51784,(-0.05* 1.00* 0.00),(-0.66* 0.75* 0.03)
Up,2,-33.81714,(-0.04* 1.00* 0.00),(-0.59* 0.81* 0.03)
Up,3,34.70186,(-0.03* 1.00* 0.01),(-0.59* 0.80* 0.03)
DownLeft,1,-76.25116,(-0.03* 1.00* 0.01),(0.62* 0.25* 0.75)
DownLeft,2,-82.63818,(-0.03* 1.00* 0.01),(0.63* 0.14* 0.77)
DownLeft,3,-87.78039,(-0.03* 1.00* 0.01),(0.63* 0.05* 0.78)
