Direction,tCount,MaxViewingRange,StartVector,EndVector
UpRight,1,35.52905,(0.15* 0.95* -0.29),(0.67* 0.64* -0.38)
UpRight,2,31.75522,(0.17* 0.94* -0.30),(0.64* 0.67* -0.38)
UpRight,3,32.55913,(0.18* 0.93* -0.31),(0.66* 0.65* -0.38)
Right,1,59.31693,(0.17* 0.94* -0.31),(0.84* 0.48* 0.26)
Right,2,60.86734,(0.16* 0.95* -0.28),(0.85* 0.45* 0.27)
Right,3,58.0876,(0.20* 0.94* -0.28),(0.85* 0.46* 0.26)
Up,1,-35.05338,(0.16* 0.95* -0.27),(0.38* 0.60* -0.71)
Up,2,31.26757,(0.16* 0.94* -0.31),(0.37* 0.62* -0.69)
Up,3,29.89089,(0.17* 0.93* -0.32),(0.37* 0.63* -0.69)
DownLeft,1,-36.5382,(0.16* 0.93* -0.32),(-0.43* 0.90* -0.11)
DownLeft,2,-37.14545,(0.14* 0.94* -0.30),(-0.46* 0.88* -0.10)
DownLeft,3,-41.27473,(0.17* 0.93* -0.32),(-0.49* 0.87* -0.08)
Left,1,-55.52709,(0.12* 0.95* -0.27),(-0.64* 0.51* -0.57)
Left,2,-55.34542,(0.15* 0.94* -0.30),(-0.63* 0.52* -0.57)
Left,3,-57.41827,(0.14* 0.93* -0.34),(-0.67* 0.47* -0.57)
DownRight,1,35.93826,(0.13* 0.95* -0.29),(0.30* 0.90* 0.30)
DownRight,2,28.55824,(0.17* 0.94* -0.28),(0.28* 0.94* 0.20)
DownRight,3,34.41288,(0.18* 0.94* -0.29),(0.29* 0.91* 0.29)
UpLeft,1,-43.79399,(0.17* 0.95* -0.28),(-0.09* 0.53* -0.84)
UpLeft,2,-39.41107,(0.14* 0.94* -0.31),(-0.08* 0.56* -0.82)
UpLeft,3,-42.08707,(0.14* 0.94* -0.30),(-0.09* 0.53* -0.84)
Down,1,25.01123,(0.13* 0.94* -0.31),(-0.05* 1.00* 0.08)
Down,2,-23.52243,(0.16* 0.94* -0.29),(-0.04* 1.00* 0.06)
Down,3,-21.94107,(0.16* 0.94* -0.30),(-0.02* 1.00* 0.03)
