Direction,tCount,MaxViewingRange,StartVector,EndVector
UpRight,1,27.43368,(0.17* 0.99* 0.03),(-0.29* 0.95* -0.08)
UpRight,2,38.36085,(0.19* 0.98* 0.02),(-0.45* 0.89* -0.10)
UpRight,3,37.99037,(0.17* 0.98* 0.04),(-0.45* 0.88* -0.12)
Right,1,49.01257,(0.17* 0.98* 0.04),(-0.27* 0.74* -0.62)
Right,2,64.89323,(0.19* 0.98* 0.03),(-0.39* 0.53* -0.75)
Right,3,66.78634,(0.19* 0.98* 0.03),(-0.40* 0.50* -0.76)
Up,1,35.97327,(0.17* 0.98* 0.03),(-0.35* 0.87* 0.34)
Up,2,-38.00153,(0.19* 0.98* 0.02),(-0.35* 0.86* 0.36)
Up,3,39.51653,(0.19* 0.98* 0.03),(-0.38* 0.85* 0.37)
DownLeft,1,-54.75707,(0.19* 0.98* 0.04),(0.88* 0.41* 0.26)
DownLeft,2,-63.7688,(0.21* 0.98* 0.05),(0.93* 0.24* 0.29)
DownLeft,3,-70.17467,(0.18* 0.98* 0.04),(0.93* 0.16* 0.32)
Left,1,-54.26932,(0.21* 0.98* 0.04),(0.51* 0.46* 0.73)
Left,2,-53.77559,(0.19* 0.98* 0.02),(0.51* 0.49* 0.71)
Left,3,-60.42551,(0.20* 0.98* 0.05),(0.51* 0.36* 0.78)
DownRight,1,63.63333,(0.20* 0.98* 0.06),(0.33* 0.44* -0.84)
DownRight,2,58.00452,(0.21* 0.98* 0.02),(0.31* 0.49* -0.81)
DownRight,3,62.66267,(0.19* 0.98* 0.03),(0.32* 0.43* -0.84)
UpLeft,1,-41.90546,(0.18* 0.98* 0.03),(0.00* 0.74* 0.68)
UpLeft,2,-44.0233,(0.20* 0.98* 0.02),(-0.01* 0.72* 0.69)
UpLeft,3,-44.25363,(0.20* 0.98* 0.05),(-0.03* 0.70* 0.71)
Down,1,-38.42773,(0.19* 0.98* 0.05),(0.68* 0.68* -0.27)
Down,2,-27.19589,(0.20* 0.98* 0.02),(0.57* 0.80* -0.21)
Down,3,-36.85265,(0.19* 0.98* 0.02),(0.67* 0.69* -0.27)
