Direction,tCount,MaxViewingRange,StartVector,EndVector
Left,1,-155.9614,(-0.04* 0.04* 1.00),(-0.37* -0.01* -0.93)
Left,2,-150.1035,(-0.03* 0.05* 1.00),(-0.47* -0.01* -0.88)
Left,3,-152.1291,(-0.04* 0.04* 1.00),(-0.43* -0.01* -0.90)
DownRight,1,156.8588,(-0.03* 0.04* 1.00),(0.31* -0.31* -0.90)
DownRight,2,158.929,(-0.03* 0.04* 1.00),(0.29* -0.28* -0.91)
DownRight,3,157.6664,(-0.05* 0.04* 1.00),(0.31* -0.31* -0.90)
UpLeft,1,-140.1629,(-0.04* 0.04* 1.00),(-0.43* 0.41* -0.80)
UpLeft,2,-166.0393,(-0.05* 0.04* 1.00),(-0.14* 0.11* -0.98)
UpLeft,3,-153.0695,(-0.05* 0.04* 1.00),(-0.27* 0.29* -0.92)
Down,1,-71.67721,(-0.03* 0.05* 1.00),(-0.02* -0.93* 0.36)
Down,2,-64.14256,(-0.04* 0.04* 1.00),(-0.03* -0.88* 0.47)
Down,3,-65.42567,(-0.04* 0.04* 1.00),(-0.03* -0.89* 0.45)
UpRight,1,126.1091,(-0.05* 0.00* 1.00),(0.59* 0.58* -0.56)
UpRight,2,129.8453,(-0.05* 0.05* 1.00),(0.54* 0.54* -0.64)
UpRight,3,128.1559,(-0.05* 0.05* 1.00),(0.55* 0.56* -0.62)
Right,1,160.9948,(-0.03* 0.06* 1.00),(0.35* 0.00* -0.94)
Right,2,159.8697,(-0.04* 0.05* 1.00),(0.38* 0.00* -0.93)
Right,3,164.0856,(-0.05* 0.04* 1.00),(0.32* 0.00* -0.95)
Up,1,-70.70811,(-0.04* 0.03* 1.00),(-0.03* 0.95* 0.30)
Up,2,-73.19677,(-0.05* 0.04* 1.00),(-0.03* 0.97* 0.25)
Up,3,75.02106,(-0.04* 0.06* 1.00),(-0.01* 0.98* 0.20)
DownLeft,1,-140.8046,(-0.04* 0.08* 1.00),(-0.46* -0.46* -0.76)
DownLeft,2,-149.6327,(-0.03* 0.05* 1.00),(-0.37* -0.36* -0.86)
DownLeft,3,-155.8846,(-0.04* 0.05* 1.00),(-0.29* -0.29* -0.91)
