Direction,tCount,MaxViewingRange,StartVector,EndVector
Right,1,86.10933,(0.02* 1.00* 0.08),(0.99* 0.04* 0.10)
Right,2,80.03184,(0.00* 1.00* 0.03),(0.98* 0.17* 0.11)
Right,3,82.5534,(0.01* 1.00* 0.00),(0.99* 0.12* 0.10)
Up,1,72.94717,(0.00* 1.00* 0.04),(0.01* 0.33* -0.94)
Up,2,-69.00081,(0.01* 1.00* -0.01),(0.01* 0.35* -0.94)
Up,3,-69.4077,(0.01* 1.00* 0.01),(0.01* 0.36* -0.93)
DownLeft,1,-68.21857,(0.00* 1.00* 0.03),(-0.65* 0.35* 0.67)
DownLeft,2,-70.24925,(0.00* 1.00* 0.04),(-0.66* 0.31* 0.68)
DownLeft,3,-69.71465,(0.00* 1.00* 0.01),(-0.65* 0.34* 0.68)
Left,1,-86.42919,(-0.02* 1.00* 0.05),(-1.00* 0.04* 0.05)
Left,2,-90.5149,(0.01* 1.00* 0.02),(-1.00* 0.00* 0.05)
Left,3,-93.96249,(0.00* 1.00* 0.01),(-1.00* -0.07* 0.06)
DownRight,1,80.26057,(0.01* 1.00* -0.01),(0.65* 0.17* 0.74)
DownRight,2,77.58105,(0.00* 1.00* 0.02),(0.64* 0.20* 0.74)
DownRight,3,76.46151,(0.00* 1.00* 0.02),(0.64* 0.22* 0.74)
UpLeft,1,-88.27863,(0.00* 1.00* 0.00),(-0.74* 0.03* -0.67)
UpLeft,2,-83.63956,(-0.01* 1.00* 0.01),(-0.72* 0.11* -0.68)
UpLeft,3,-85.70329,(-0.02* 1.00* 0.00),(-0.75* 0.06* -0.66)
Down,1,-63.96622,(0.01* 1.00* 0.00),(-0.02* 0.44* 0.90)
Down,2,-65.05487,(0.01* 1.00* -0.01),(-0.02* 0.43* 0.90)
Down,3,-61.26888,(0.01* 1.00* -0.02),(-0.01* 0.50* 0.87)
UpRight,1,73.36516,(0.01* 1.00* 0.00),(0.72* 0.28* -0.64)
UpRight,2,75.92458,(0.04* 1.00* 0.04),(0.73* 0.24* -0.64)
UpRight,3,74.85197,(0.01* 1.00* 0.01),(0.73* 0.26* -0.63)
