Direction,tCount,MaxViewingRange,StartVector,EndVector
Up,1,-83.60304,(-0.01* 0.20* 0.98),(-0.01* 1.00* -0.09)
Up,2,-64.58875,(0.00* 0.26* 0.97),(-0.01* 0.98* 0.18)
Up,3,53.86611,(-0.01* 0.27* 0.96),(-0.01* 0.94* 0.35)
DownLeft,1,-71.07846,(-0.04* 0.24* 0.97),(-0.68* -0.58* 0.45)
DownLeft,2,-65.10283,(-0.02* 0.20* 0.98),(-0.65* -0.55* 0.53)
DownLeft,3,-70.51755,(0.00* 0.20* 0.98),(-0.66* -0.59* 0.46)
Left,1,-94.85002,(-0.02* 0.20* 0.98),(-0.99* -0.03* -0.10)
Left,2,-98.76296,(-0.01* 0.21* 0.98),(-0.99* -0.03* -0.16)
Left,3,-95.94383,(-0.04* 0.21* 0.98),(-0.99* -0.03* -0.14)
DownRight,1,65.72824,(-0.02* 0.20* 0.98),(0.65* -0.53* 0.54)
DownRight,2,69.89735,(0.01* 0.20* 0.98),(0.68* -0.57* 0.46)
DownRight,3,71.49608,(0.01* 0.19* 0.98),(0.68* -0.59* 0.43)
UpLeft,1,-72.16635,(0.04* 0.25* 0.97),(-0.68* 0.72* 0.16)
UpLeft,2,-80.28273,(0.00* 0.21* 0.98),(-0.70* 0.71* 0.02)
UpLeft,3,-80.70247,(-0.01* 0.23* 0.97),(-0.70* 0.71* -0.01)
Down,1,61.41726,(0.02* 0.22* 0.97),(0.02* -0.75* 0.66)
Down,2,58.07828,(0.00* 0.15* 0.99),(0.01* -0.76* 0.65)
Down,3,-63.64814,(0.01* 0.19* 0.98),(0.00* -0.80* 0.61)
UpRight,1,85.2099,(0.04* 0.26* 0.96),(0.71* 0.69* -0.13)
UpRight,2,91.31896,(0.03* 0.22* 0.98),(0.70* 0.69* -0.20)
UpRight,3,92.91472,(0.02* 0.21* 0.98),(0.71* 0.67* -0.21)
Right,1,3.699729,(-0.01* 0.26* 0.97),(0.03* 0.21* 0.98)
Right,2,106.0729,(0.04* 0.22* 0.97),(0.95* -0.06* -0.31)
Right,3,106.5448,(0.03* 0.22* 0.98),(0.95* -0.05* -0.31)
