Direction,tCount,MaxViewingRange,StartVector,EndVector
DownLeft,1,-67.1049,(0.01* 1.00* 0.02),(-0.61* 0.38* 0.69)
DownLeft,2,-61.94612,(-0.01* 1.00* 0.05),(-0.58* 0.43* 0.69)
DownLeft,3,-66.78972,(-0.01* 1.00* 0.07),(-0.62* 0.34* 0.71)
Left,1,-52.11119,(0.00* 1.00* 0.08),(-0.79* 0.61* 0.10)
Left,2,-54.25222,(0.00* 1.00* 0.06),(-0.81* 0.58* 0.10)
Left,3,-47.21586,(-0.03* 1.00* 0.07),(-0.75* 0.65* 0.10)
DownRight,1,40.45267,(-0.05* 1.00* 0.07),(0.44* 0.75* 0.49)
DownRight,2,35.53097,(0.01* 1.00* 0.09),(0.43* 0.77* 0.47)
DownRight,3,26.02932,(0.01* 1.00* 0.07),(0.32* 0.87* 0.37)
UpLeft,1,-42.76872,(0.01* 1.00* 0.07),(-0.50* 0.77* -0.40)
UpLeft,2,-34.14167,(-0.03* 1.00* 0.07),(-0.43* 0.84* -0.33)
UpLeft,3,-33.02292,(0.00* 1.00* 0.06),(-0.40* 0.86* -0.32)
Down,1,56.84796,(-0.01* 1.00* 0.03),(0.02* 0.52* 0.85)
Down,2,-49.35654,(0.00* 1.00* 0.03),(0.01* 0.63* 0.78)
Down,3,36.8003,(-0.01* 1.00* 0.03),(0.02* 0.78* 0.62)
UpRight,1,42.84734,(0.00* 1.00* 0.04),(0.50* 0.75* -0.43)
UpRight,2,37.36774,(0.02* 1.00* 0.04),(0.45* 0.80* -0.39)
UpRight,3,41.04485,(0.06* 1.00* 0.07),(0.48* 0.76* -0.44)
Right,1,49.70567,(0.03* 1.00* 0.06),(0.78* 0.62* 0.06)
Right,2,49.07117,(0.02* 1.00* 0.07),(0.77* 0.64* 0.04)
Right,3,48.71159,(0.02* 1.00* 0.04),(0.76* 0.64* 0.04)
Up,1,-40.96485,(0.04* 1.00* 0.07),(-0.01* 0.80* -0.60)
Up,2,-32.76833,(0.01* 1.00* 0.05),(-0.01* 0.87* -0.50)
Up,3,42.48214,(0.01* 1.00* 0.07),(0.01* 0.78* -0.62)
