Direction,tCount,MaxViewingRange,StartVector,EndVector
UpLeft,1,155.8323,(-0.79* -0.08* -0.60),(0.56* -0.20* 0.81)
UpLeft,2,172.7632,(-0.79* -0.06* -0.62),(0.71* 0.02* 0.71)
UpLeft,3,170.0096,(-0.77* -0.07* -0.63),(0.68* -0.04* 0.73)
Down,1,86.18604,(-0.80* -0.06* -0.59),(-0.03* -1.00* 0.03)
Down,2,82.10769,(-0.79* -0.13* -0.60),(-0.04* -1.00* 0.04)
Down,3,71.57927,(-0.76* -0.08* -0.64),(-0.22* -0.97* -0.11)
UpRight,1,177.8651,(-0.78* -0.09* -0.62),(0.77* 0.06* 0.64)
UpRight,2,-172.171,(-0.80* -0.03* -0.60),(0.84* -0.08* 0.53)
UpRight,3,-161.5001,(-0.79* -0.07* -0.61),(0.88* -0.18* 0.43)
Right,1,-173.7029,(-0.79* -0.08* -0.61),(0.85* 0.10* 0.52)
Right,2,-175.9974,(-0.82* -0.08* -0.57),(0.85* 0.10* 0.51)
Right,3,-174.7807,(-0.80* -0.07* -0.59),(0.85* 0.10* 0.52)
Up,1,-97.15369,(-0.78* -0.09* -0.61),(0.02* 1.00* 0.03)
Up,2,103.9496,(-0.80* -0.06* -0.60),(0.13* 0.98* 0.13)
Up,3,103.4173,(-0.79* -0.06* -0.61),(0.11* 0.98* 0.14)
DownLeft,1,-176.8837,(-0.81* -0.07* -0.59),(0.82* 0.02* 0.57)
DownLeft,2,178.5889,(-0.78* -0.09* -0.61),(0.77* 0.11* 0.62)
DownLeft,3,178.7452,(-0.78* -0.11* -0.61),(0.77* 0.11* 0.63)
Left,1,175.9546,(-0.78* -0.10* -0.62),(0.73* 0.10* 0.67)
Left,2,162.4222,(-0.79* -0.09* -0.60),(0.57* 0.10* 0.81)
Left,3,169.7397,(-0.79* -0.08* -0.60),(0.67* 0.10* 0.73)
DownRight,1,170.3947,(-0.80* -0.08* -0.60),(0.69* 0.04* 0.72)
DownRight,2,173.4895,(-0.82* -0.07* -0.57),(0.75* 0.11* 0.65)
DownRight,3,169.7081,(-0.82* -0.07* -0.56),(0.71* 0.09* 0.70)
