Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Up,1,0,0,0,0,0,0
Up,1,0.04998779,0.02032471,-0.02005005,-0.03000247,-0.01956177,-0.02999878
Up,1,0.07000732,0.02032471,-0.02008057,-0.03000307,-0.03939819,-0.04000854
Up,1,0.05999756,0.0003356934,-0.02005005,-0.04000545,-0.04891968,-0.06997681
Up,1,0.05999756,-0.01950073,-0.03005981,-0.05000699,-0.05856323,-0.0899353
Up,1,0.08001709,-0.02999878,-7.005595E-05,-0.04000974,-0.04782104,-0.1399536
Up,1,0.07000732,-0.00982666,-0.01006006,-0.0500108,-0.02746582,-0.1599426
Up,1,-0.06008911,0.03192139,-0.1199646,-0.05001271,-0.03686523,-0.1999207
Up,1,-0.1100464,0.04110718,-0.06991577,-0.070014,-0.04589844,-0.2598877
Up,1,-0.1800232,0.06063843,-0.03985596,-0.07001483,-0.04495239,-0.3198242
Up,1,-0.4499817,0.04016113,-0.00960608,-0.08001435,-0.02429199,-0.3598328
Up,1,-0.7599792,0.01000977,0.0006653396,-0.1000147,-0.03399658,-0.3797913
Up,1,-0.9100037,-0.04968262,-0.01922607,-0.09001315,-0.03335571,-0.4197998
Up,1,-1.150024,-0.0592041,-0.04901123,-0.06001258,-0.01303101,-0.4397583
Up,1,-1.500031,-0.06906128,-0.05871582,-0.7899497,-0.7939453,-1.009613
Up,1,-1.850098,-0.02810669,-0.1184387,-1.039906,-1.060791,-1.209625
Up,1,-2.130096,0.01187134,-0.1181946,-0.979901,-1.020477,-1.229584
Up,1,-2.660095,0.0718689,-0.1177673,-0.9798853,-1.019501,-1.289551
Up,1,-3.180145,0.09246826,-0.1573486,-0.9698689,-1.038544,-1.349518
Up,1,-3.660217,0.09402466,-0.2570496,-0.9398516,-1.027588,-1.409515
Up,1,-4.350311,0.06558228,-0.3565979,-0.9298264,-1.056335,-1.489502
Up,1,-4.960297,0.06634521,-0.406189,-0.9498165,-1.095825,-1.519501
Up,1,-5.770355,0.08709717,-0.4556274,-0.2399731,-0.3061829,-0.8695679
Up,1,-6.700378,0.06716919,-0.4649658,-0.04999197,-0.06842041,-0.7296143
Up,1,-7.380371,0.03710938,-0.464447,-0.03999174,-0.07839966,-0.7296143
Up,1,-8.290344,-0.03347778,-0.4336853,-0.07998466,-0.1174622,-0.7895813
Up,1,-9.190399,-0.1524353,-0.5031433,-0.0799855,-0.1276245,-0.7796021
Up,1,-9.880432,-0.23172,-0.5527649,-0.07998919,-0.118103,-0.7496033
Up,1,-10.71045,-0.3910217,-0.6022949,-0.06999075,-0.1082458,-0.7396545
Up,1,-11.47052,-0.4398499,-0.6819763,0.1412882,-0.8361206,-3.388
Up,1,-12.16049,-0.540741,-0.6313171,0.7839004,-1.070374,-5.635712
Up,1,-12.96048,-0.6408691,-0.6307373,0.8040789,-1.08847,-5.755585
Up,1,-13.78052,-0.7203979,-0.6702881,0.8142616,-1.116547,-5.875458
Up,1,-14.41055,-0.7896423,-0.7200317,1.762848,0.3274841,-4.865082
Up,1,-15.18054,-0.9099426,-0.7094421,1.772798,0.3268433,-4.825134
Up,1,-15.95056,-1.019775,-0.7289734,1.772784,0.3067017,-4.815125
Up,1,-16.80057,-1.089478,-0.7584839,1.802847,0.3274841,-4.865021
Up,1,-17.60062,-1.109131,-0.7880554,1.672936,0.2285767,-4.93512
Up,1,-18.4006,-1.178833,-0.817627,0.9736396,-0.7532043,-5.455597
Up,1,-19.26071,-1.05719,-0.9276123,0.7539743,-1.089569,-5.68573
Up,1,-20.21088,-1.061615,-1.26889,1.702963,0.3088989,-4.955078
Up,1,-21.14102,-0.9667053,-1.57016,1.782773,0.4665222,-4.805115
Up,1,-22.14108,-0.7836304,-1.760864,1.732785,0.436676,-4.815155
Up,1,-23.26114,-0.5022583,-1.850983,1.672687,0.4754028,-4.735321
Up,1,-24.2012,-0.1698303,-2.001648,0.9535409,-0.6143188,-5.385681
Up,1,-25.29126,0.2229919,-2.172455,0.7738568,-0.8908386,-5.605774
Up,1,-26.47125,0.5944214,-2.262756,1.512638,0.3947754,-4.695557
Up,1,-27.50125,0.8057251,-2.34314,1.642736,0.5560303,-4.77533
Up,1,-28.60129,1.046478,-2.39325,1.662861,0.5576172,-4.875183
Up,1,-29.60129,1.17691,-2.423218,0.8040193,-0.7190857,-5.715637
Up,1,-30.44131,1.267517,-2.463379,1.243388,0.03393555,-5.27536
Up,1,-31.31131,1.319092,-2.554016,1.642836,0.6773071,-4.855255
Up,1,-32.10132,1.319366,-2.574005,1.792925,0.8484192,-4.924988
Up,1,-32.84134,1.300964,-2.664764,1.263485,0.1850586,-5.345276
Up,2,0,0,0,0,0,0
Up,2,-0.2499657,0.129531,0.03027135,-0.01999986,-0.03994751,0
Up,2,-0.3698959,0.1785819,0.09038287,-0.03001904,-0.08935547,-0.03994751
Up,2,-0.3098725,0.1582631,0.1103036,-0.03999507,-0.130127,0.01000977
Up,2,0.06011546,0.1084112,0.09987468,-0.05997086,-0.1509399,0.05999756
Up,2,-0.1599081,0.04873516,0.08014256,-0.07995105,-0.1515808,0.09997559
Up,2,-0.4999884,0.1198541,0.0105679,-0.08994615,-0.1716919,0.1099854
