Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
UpLeft,1,0,0,0,0,0,0
UpLeft,1,0.06336027,0.2103086,0.04983521,0.4890213,0.1549339,-0.430542
UpLeft,1,0.1438362,0.3608057,0.1100464,0.4959106,0.1840401,-0.4033508
UpLeft,1,0.2020495,0.4913788,0.1684265,0.4593973,0.1898956,-0.353363
UpLeft,1,0.2242184,0.5821071,0.2285156,0.4288378,0.1917305,-0.3351746
UpLeft,1,0.2550877,0.662164,0.2354126,0.3535194,0.2019691,-0.2715759
UpLeft,1,0.2207437,0.6626818,0.2731018,0.3242483,0.2019844,-0.2760925
UpLeft,1,0.2001721,0.6423666,0.249054,0.2984171,0.2215996,-0.2669983
UpLeft,1,0.1659124,0.5921338,0.2284241,0.251482,0.2185745,-0.2579346
UpLeft,1,0.1128743,0.4713938,0.161438,0.2480574,0.2690239,-0.2715759
UpLeft,1,0.08388102,0.3704987,0.07391357,0.2480564,0.2790184,-0.2715759
UpLeft,1,0.1183665,0.2394903,-0.02209473,0.2222042,0.2685661,-0.2624817
UpLeft,1,0.1701883,0.1074083,-0.2243958,0.2079754,0.2550697,-0.2352905
UpLeft,1,0.3903893,-0.2781448,-0.6287537,0.1903057,0.231987,-0.2217102
UpLeft,1,0.5708689,-0.6329511,-0.8703613,0.1903076,0.2519646,-0.2217102
UpLeft,1,0.6517044,-1.046012,-1.043457,0.2312164,0.2889404,-0.1990051
UpLeft,1,0.7240056,-1.429063,-1.221741,0.189826,0.2666473,-0.1401062
UpLeft,1,0.7826965,-1.752268,-1.454926,0.09798527,0.2115326,-0.08584595
UpLeft,1,0.9169766,-2.068453,-1.794434,0.0211153,0.212738,6.103516E-05
UpLeft,1,1.13874,-2.448883,-2.221313,-0.05843449,0.2070618,0.1312256
UpLeft,1,1.41022,-2.893341,-2.711731,-0.09388256,0.1105995,0.1582336
UpLeft,1,1.782843,-3.386597,-3.351654,-0.02776241,-0.004421234,0.1132202
UpLeft,1,2.250998,-3.900726,-4.015991,-0.06028938,-0.0766983,0.2354431
UpLeft,1,2.653826,-4.476288,-4.766541,-0.1672411,-0.1816978,0.3980713
UpLeft,1,3.213269,-5.041931,-5.528625,-0.2128325,-0.3495445,0.5246582
UpLeft,1,3.684739,-5.515625,-6.145447,-0.2892046,-0.46632,0.6690979
UpLeft,1,4.126521,-6.122925,-6.850494,-0.339673,-0.6522865,0.8046265
UpLeft,1,4.49436,-6.61438,-7.354889,-0.3848152,-0.9250336,0.8495483
UpLeft,1,4.880396,-7.29425,-8.047333,-0.4273138,-1.16111,0.8491516
UpLeft,1,5.280997,-7.971222,-8.766571,-0.4212141,-0.4423752,1.905426
UpLeft,1,5.633361,-8.844116,-9.386414,-0.5194664,-1.683178,1.183502
