Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Up,1,0,0,0,0,0,0
Up,1,0.01907349,-0.07431507,-0.1290877,1.700378,0.654335,2.249115
Up,1,0.09512329,-0.148006,-0.2140327,3.002869,0.3217468,1.984436
Up,1,0.09371948,-0.0987606,-0.1940665,3.005096,0.4036255,1.954468
Up,1,0.1016235,-0.02956676,-0.1634145,2.199097,0.9660492,2.417175
Up,1,0.129425,0.1004963,-0.131363,1.781097,1.227638,2.647614
Up,1,0.2012939,0.1544485,-0.1564021,1.647797,1.137123,2.688049
Up,1,0.2902832,0.1576777,-0.1401034,1.07135,0.6929932,2.75589
Up,1,0.3685913,0.1801844,-0.114522,2.867371,0.301857,2.054749
Up,1,0.3836365,0.1986141,-0.04324776,4.318939,-0.427269,1.529846
Up,1,0.4441223,0.2614508,-0.04901397,4.522614,-0.6147919,1.48465
Up,1,0.4554749,0.2925377,-0.06827456,4.880066,-0.8983994,1.390594
Up,1,0.4689331,0.3045511,-0.1174744,5.063751,-1.115952,1.343872
Up,1,0.4689331,0.2745552,-0.1174741,5.580688,-1.487053,1.120911
Up,1,0.4710693,0.1955624,-0.1474159,5.647736,-1.618713,1.025513
Up,1,0.4780884,0.1388054,-0.2472205,5.664734,-1.650513,1.066895
Up,1,0.4716492,0.08003616,-0.2978266,5.813385,-1.799133,1.087708
Up,1,0.4958496,0.03267956,-0.3562973,5.830414,-1.830803,1.129059
Up,1,0.5292664,0.01534271,-0.4040833,4.624847,-1.073677,1.592529
Up,1,0.5206909,0.03562737,-0.4247502,4.324188,-0.8761597,1.730927
Up,1,0.5527039,0.04760551,-0.4525739,4.010132,-0.7052689,1.777985
Up,1,0.5961304,0.08050537,-0.499647,3.068573,-0.07320404,2.180206
Up,1,0.6252441,0.125083,-0.627969,2.010803,0.5902252,2.795441
Up,1,0.6686707,0.1777563,-0.6750351,1.885254,0.7068634,2.866669
Up,1,0.7028198,0.2303905,-0.7327859,1.905945,0.6771774,2.858124
Up,1,0.7611389,0.2951603,-0.848999,1.885986,0.6876831,2.856628
Up,1,0.7497559,0.3979177,-0.9701538,1.90741,0.6888123,2.838074
Up,1,0.756134,0.4903908,-1.059967,1.888184,0.7201538,2.82663
Up,1,0.7447205,0.5332613,-1.181122,1.846832,0.7795334,2.843689
Up,1,0.7817383,0.5266285,-1.278778,3.048615,0.1175537,2.178711
Up,1,0.8429565,0.561801,-1.434875,4.01236,-0.4539185,1.748047
Up,1,0.847229,0.6268549,-1.635162,4.399048,-0.7066345,1.666199
Up,1,0.8700562,0.671566,-1.814026,4.460297,-0.7486496,1.650635
Up,1,0.9149475,0.7171001,-2.021423,3.917145,-0.5466003,1.680756
Up,1,0.9421082,0.7730141,-2.260162,1.514862,-0.2408676,2.587555
Up,1,0.9913635,0.829483,-2.527405,4.028198,-0.7807693,1.668915
Up,1,1.06131,0.9056511,-2.803162,4.253998,-0.8772125,1.595276
Up,1,1.124176,0.9821911,-3.119537,4.601166,-1.144051,1.370056
Up,1,1.169312,1.079113,-3.467285,4.995026,-1.387573,1.188354
Up,1,1.150452,1.148993,-3.899841,3.86969,-1.385094,1.105042
Up,1,1.197296,1.238944,-4.407898,4.694794,-1.331818,1.18631
Up,1,1.198517,1.268571,-4.83902,4.75528,-1.314766,1.180756
Up,1,1.230469,1.277135,-5.277954,4.664917,-1.280182,1.184113
Up,1,1.270233,1.254332,-5.686218,3.310303,-1.416588,0.9526367
Up,1,1.318054,1.283143,-6.204163,4.369843,-1.291779,1.112122
Up,1,1.35968,1.242984,-6.772736,4.627289,-1.256958,1.151245
Up,1,1.425354,1.258608,-7.259308,4.361359,-1.340431,1.091431
Up,1,1.503967,1.283075,-7.785034,4.817963,-1.306801,1.145233
Up,1,1.574066,1.367764,-8.331421,4.857849,-1.299019,1.148193
Up,1,1.649658,1.459642,-8.8172,4.849304,-1.297844,1.127502
Up,1,1.702545,1.60248,-9.264587,4.791046,-1.293877,1.103149
Up,1,1.726105,1.771297,-9.854462,4.921265,-1.280861,1.102692
Up,1,1.791565,1.984803,-10.47134,4.931946,-1.261139,1.093414
Up,1,1.878448,2.122029,-10.97635,5.003082,-1.264496,1.078613
Up,1,1.91748,2.276025,-11.50494,4.953339,-1.221687,1.074951
Up,1,1.974518,2.408729,-12.14246,3.78067,-0.8939056,1.359406
Up,1,2.040588,2.458792,-12.76929,3.512726,-0.6468964,1.459961
Up,1,2.111267,2.515828,-13.32559,2.780548,-0.5939255,1.606049
Up,1,2.186279,2.591969,-13.94174,3.380188,-0.3687592,1.761383
Up,1,2.184692,2.703833,-14.58362,4.025635,-0.1788483,1.839355
Up,1,2.189301,2.79389,-15.17493,4.064758,-0.1410294,1.852295
Up,1,2.202362,2.872002,-15.74551,4.115326,-0.1227341,1.845978
Up,1,2.291595,2.961099,-16.29041,3.928192,-0.2131119,1.802032
Up,1,2.311523,3.033767,-16.69003,3.90976,-0.2512894,1.78064
Up,1,2.36261,3.108721,-17.11743,3.822296,-0.3158493,1.744019
Up,1,2.4729,3.197518,-17.56049,3.516357,-0.4997101,1.681122
Up,1,2.553314,3.292973,-17.99576,3.975433,-0.4402847,1.70517
Up,1,2.626831,3.399956,-18.47168,3.178314,-0.6133728,1.645905
Up,1,2.706055,3.503484,-18.89703,3.569427,-1.129257,1.102661
Up,1,2.764526,3.542054,-19.30386,3.361328,-1.004784,1.207581
Up,1,2.85791,3.610279,-19.79843,3.273407,-0.9468079,1.311462
Up,1,2.885223,3.668496,-20.30777,-4.311859,0.3712234,0.6792908
Up,1,2.970032,3.7076,-20.82306,-5.113831,0.4899063,0.4370422
Up,1,3.027649,3.734947,-21.36035,0.3974915,0.2618179,1.979248
Up,1,3.085815,3.771445,-21.90762,1.754913,0.1493225,2.867065
Up,1,3.174683,3.796392,-22.49286,2.01712,0.05596924,2.846191
Up,1,3.258759,3.84231,-23.14862,1.892303,0.1133194,2.90741
Up,1,3.383942,3.849998,-23.73135,4.583679,-0.4328766,1.880432
Up,1,3.55838,3.874949,-24.23059,5.080261,-0.3764648,1.666046
Up,1,3.637451,3.915648,-24.70639,5.719543,-0.6528702,1.552185
Up,1,3.758698,3.977276,-25.1293,3.920929,-0.3412018,2.172913
Up,1,3.842621,4.043002,-25.55478,5.431366,-0.6586151,1.52121
Up,1,3.937256,4.092831,-26.00964,5.65564,-0.7081604,1.467316
Up,1,4.012451,4.129835,-26.45587,5.563812,-0.6742325,1.490723
Up,1,4.076843,4.170587,-26.88278,5.634216,-0.6774979,1.485809
Up,1,4.141541,4.16034,-27.31973,5.644928,-0.6678238,1.476593
Up,1,4.219971,4.132368,-27.836,6.222137,-0.8949814,1.388062
Up,1,4.241516,4.07084,-28.31589,5.639099,-0.5091705,1.556396
Up,1,4.299988,4.000741,-28.81348,5.508148,-0.4232788,1.566895
Up,2,0,0,0,0,0,0
Up,2,-0.006439209,0.01124477,-0.05059814,-0.57901,0.3799438,0.1069946
Up,2,-0.04486084,0.01091003,-0.07339478,-1.208557,0.8373642,0.3509216
Up,2,-0.06411743,-0.009214401,-0.08480835,-2.05719,1.361702,0.8404236
Up,2,-0.06341553,-0.01893234,-0.0947876,-2.519043,1.64566,1.118011
Up,2,-0.05133057,-0.02776909,-0.1239929,-3.20517,1.166412,1.177032
Up,2,-0.05059814,-0.04745197,-0.1339722,-9.807098,1.078209,-1.263336
Up,2,-0.01998901,-0.02647686,-0.1418457,-10.26654,1.077499,-1.398163
Up,2,-0.01928711,0.02386951,-0.151825,-10.7229,1.098442,-1.336517
Up,2,-0.03067017,0.02301884,-0.1325684,-10.82944,1.07579,-1.263397
Up,2,-0.009979248,0.04378128,-0.1411133,-10.56201,1.08075,-1.342468
Up,2,-0.007141113,0.04499531,-0.1810303,-10.64334,1.092049,-1.329193
Up,2,-0.003601074,0.0465126,-0.2309265,-10.55029,1.115013,-1.362091
Up,2,-0.01004028,0.06783485,-0.2815552,-10.40665,1.106323,-1.400665
Up,2,0.01416016,0.07004261,-0.3399963,-10.40665,1.116325,-1.400665
Up,2,0.008483887,0.08165741,-0.4006042,-10.57925,1.10997,-1.375122
Up,2,-0.01504517,0.08387661,-0.4925232,-10.55847,1.140884,-1.383545
Up,2,0.003448486,0.07767868,-0.6115723,-10.59735,1.166649,-1.397522
Up,2,0.03338623,0.06214905,-0.7498474,-10.92355,1.169243,-1.33429
Up,2,0.006317139,0.06712055,-0.9323425,-10.95251,1.154259,-1.347351
Up,2,0.007049561,0.05157661,-1.082733,-10.95071,1.169464,-1.36792
Up,2,0.02844238,0.05641651,-1.241699,-10.53146,1.149506,-1.463959
