Participant,Task,BedStatus,0,90,180,270
1,1,ActuatedBed,1.0057297401351808,0.5867943494752348,1.204303195886939,1.6164796965523505
1,1,NormalBed,1.2227534265366837,0.6724276102543014,2.2002720820313986,1.747238865331434
1,2,ActuatedBed,1.2796770036497274,0.5523699247769879,1.3171951361849237,1.35923967796488
1,2,NormalBed,2.2688211753391383,0.5375139772629336,3.1295826536014566,1.1224511327216877
2,1,ActuatedBed,0.5770557022035211,0.3568191141196211,1.023532765285004,0.6894301692383623
2,1,NormalBed,1.6161693054386164,1.1726431634939234,2.3507144029262905,1.3415742041472793
2,2,ActuatedBed,0.8588001565528619,0.600919590971768,0.8782636159323067,1.3535413938680485
2,2,NormalBed,2.190181068969927,1.4203819578898544,2.6804638974487123,1.5576515409992582
3,1,ActuatedBed,2.0355963326207696,0.8702280130949321,0.7636705944215627,0.9554526111536155
3,1,NormalBed,3.0026848309409693,0.6147615821869504,1.7884429186060855,1.3580654210945495
3,2,ActuatedBed,2.0107795582815924,0.939203761097791,1.2103192523666657,1.2247647778519877
3,2,NormalBed,3.3776095258302528,1.6880616507723065,2.7038265035070848,1.3208579648258318
5,1,ActuatedBed,0.8905298879330801,1.4989473147107861,0.6460082452082458,0.5005008225378069
5,1,NormalBed,1.4425655452998227,2.0997475112057375,1.4263350542329059,0.7752363184439228
5,2,ActuatedBed,0.8336461422977178,0.9098768745315982,0.8283284873681134,0.6977490079987568
5,2,NormalBed,2.1981033198564743,3.4947812806836356,2.4715695254319807,1.1578483509903872
6,1,ActuatedBed,1.145819026603203,0.7672352688744136,1.4570507965839266,1.4559121049407895
6,1,NormalBed,1.2838617653924265,1.068056430241968,2.443632240427819,1.4673378492159088
6,2,ActuatedBed,1.5155753323099177,0.8707443761707442,1.2700202473449476,1.292301502217642
6,2,NormalBed,2.715275150894308,1.5199157891475752,3.1488839714977988,2.009693880716515
7,1,ActuatedBed,0.774723981036597,0.7269855470421881,0.7332403488620817,0.8933008993908303
7,1,NormalBed,1.9691950898212374,0.850611664504606,1.664322224956621,1.5680496277181415
7,2,ActuatedBed,0.6631518911728198,0.9853170421315138,0.988259202896176,0.9944500200798252
7,2,NormalBed,1.871021036521219,1.003722624799385,2.2923623674414157,1.4962920946547085
8,1,ActuatedBed,1.1641356271045087,0.6936635433419573,1.6149799121343158,2.0560206771104514
8,1,NormalBed,0.9338925465706712,0.28612168208598154,1.0927085921937674,0.8991901464974439
8,2,ActuatedBed,0.7982076704884444,0.9322275680559997,0.9283133743434961,0.8386588926478223
8,2,NormalBed,1.2020227083154884,1.1473645552694802,2.117991858522067,1.0092925207346544
9,1,ActuatedBed,0.7181544575241972,1.6431497010958205,1.0276503061735724,1.1034344478375162
9,1,NormalBed,0.7908099489241659,0.6138806595482124,1.201116455861952,0.5272827991919308
9,2,ActuatedBed,2.0909165496194033,0.7948326374339215,1.0248807158315116,1.0853904866434967
9,2,NormalBed,1.796472328863373,0.4434999129845816,1.4343330652022623,0.6567770000877148
10,1,ActuatedBed,0.6355305193751029,1.4254602181479445,1.4384765508539583,0.7644128290247492
10,1,NormalBed,0.8944112090180933,0.3572605887010993,0.2816585084560821,0.47994590045117275
10,2,ActuatedBed,0.8027850868543364,0.6860866853852079,0.5908753919662644,1.4160847173025135
10,2,NormalBed,1.6229065851618756,1.672370931926165,1.118533658128582,1.445127797369842
11,1,ActuatedBed,0.5657239753334027,0.9107210473953523,0.8046484418342755,0.5559968426565013
11,1,NormalBed,4.120260316973656,1.8274203061182983,3.2334405380331557,0.7324830756905079
11,2,ActuatedBed,1.847293626078161,0.6861447553927548,1.190258194677764,1.40133286164595
11,2,NormalBed,2.607008456891584,0.9380042606878303,1.9691238117355392,0.7638872097066128
12,1,ActuatedBed,1.128973939665405,0.4148655653733697,1.2860901815266599,1.4097785608103468
12,1,NormalBed,1.9471789676052493,1.0261383884540018,1.0964987134206985,1.6790212720668554
12,2,ActuatedBed,1.4908289715548855,1.2857547222234076,1.356385580810884,1.6688193416039014
12,2,NormalBed,1.7560624420867783,1.0877843599084378,1.422713514906069,0.7809362717697674
13,1,ActuatedBed,1.8182138942497867,0.8786612494792363,1.0151519594237135,1.175446035100104
13,1,NormalBed,0.7287042689103983,0.6028320066983707,0.7725544384096626,1.5252182187076466
13,2,ActuatedBed,2.272165795489894,0.715816563625204,1.2638554874811565,1.4611853161869763
13,2,NormalBed,1.721300219262598,1.2938177847615222,1.2567834299512197,1.3034730213295798
14,1,ActuatedBed,0.7293823485002434,0.8346154992662753,0.47271186949718874,1.7910384738563616
14,1,NormalBed,0.864378579046025,1.6396622649428068,0.5782624701569555,0.6072701869853041
14,2,ActuatedBed,1.2062518998728369,0.9127605003308906,0.8816852932848367,0.9230394233826108
14,2,NormalBed,1.1836680194301405,1.1021259463795712,1.1508110436804802,1.3938657548773643
15,1,ActuatedBed,0.2950409726345079,0.2534580807202531,0.3521765329864442,0.533881771016147
15,1,NormalBed,1.5703272837767857,1.0182353022071735,0.6568661230167265,3.0096993484048515
15,2,ActuatedBed,1.7017752574477378,1.449623186886502,0.7424571545200069,1.850786320996757
15,2,NormalBed,0.6498407062421833,0.9602824591866982,1.1319359986382134,0.6069344711983042
16,1,ActuatedBed,1.0988334904772168,0.562910958362186,1.5846356965781032,1.340503359815772
16,1,NormalBed,1.2256490261705373,1.14828759851573,1.4833681433290902,1.0334550593764686
16,2,ActuatedBed,0.9329041068150452,1.0274211314651087,1.1023014923001213,0.8489052469498526
16,2,NormalBed,1.9396647860884544,0.9932458422579673,1.5498982715027063,1.260465706340194
