Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
Left,1,25.93802,(0.16181* -0.77116* -0.55851* -0.25922),(0.13208* -0.74850* -0.57766* -0.29766),0.0,0.0,(-0.55110* 0.38844* -0.60334* 0.42590),0.0,0.0
Left,1,25.9812,(0.16181* -0.77116* -0.55851* -0.25922),(0.13185* -0.74866* -0.57758* -0.29753),-0.01574707,-0.01286411,(-0.55108* 0.38836* -0.60342* 0.42588),0.002632141,0.009643555
Left,1,26.00714,(0.16181* -0.77116* -0.55851* -0.25922),(0.13145* -0.74880* -0.57758* -0.29734),-0.03979492,-0.01132011,(-0.55094* 0.38855* -0.60327* 0.42609),-0.007911682,-0.02905273
Left,1,26.02861,(0.16181* -0.77116* -0.55851* -0.25922),(0.13144* -0.74879* -0.57760* -0.29736),-0.04144287,-0.00843811,(-0.55030* 0.38912* -0.60311* 0.42662),-0.006607056,-0.1430664
Left,1,26.05905,(0.16181* -0.77116* -0.55851* -0.25922),(0.13180* -0.74869* -0.57759* -0.29747),-0.01574707,-0.01286602,(-0.55015* 0.38923* -0.60305* 0.42682),-0.01452637,-0.1720886
Left,1,26.08214,(0.16181* -0.77116* -0.55851* -0.25922),(0.13187* -0.74852* -0.57776* -0.29753),-0.006652832,0.01150179,(-0.55017* 0.38931* -0.60289* 0.42694),-0.02987671,-0.1889343
Left,1,26.10525,(0.16181* -0.77116* -0.55851* -0.25922),(0.13185* -0.74819* -0.57822* -0.29746),0.01538086,0.07372046,(0.54479* -0.39219* 0.60442* -0.42903),0.2459335,-0.7638855
Left,1,26.12888,(0.16181* -0.77116* -0.55851* -0.25922),(0.13195* -0.74813* -0.57826* -0.29749),0.02410889,0.07869387,(0.54794* -0.39100* 0.60280* -0.42839),0.01978302,-0.521698
Left,1,26.16156,(0.16181* -0.77116* -0.55851* -0.25922),(0.13206* -0.74808* -0.57836* -0.29739),0.04315186,0.08574295,(0.54893* -0.39083* 0.60197* -0.42844),-0.07881927,-0.4867859
Left,1,26.18508,(0.16181* -0.77116* -0.55851* -0.25922),(0.13212* -0.74798* -0.57849* -0.29734),0.05728149,0.1014137,(0.54723* -0.39221* 0.60173* -0.42968),-0.05646515,-0.7610779
Left,1,26.21683,(0.16181* -0.77116* -0.55851* -0.25922),(0.13189* -0.74751* -0.57931* -0.29704),0.08947754,0.2068205,(0.54472* -0.39294* 0.60305* -0.43036),0.09924316,-0.944458
Left,1,26.24071,(0.16181* -0.77116* -0.55851* -0.25922),(0.13187* -0.74725* -0.57963* -0.29708),0.09783936,0.2530322,(0.54291* -0.39434* 0.60317* -0.43120),0.1833115,-1.192627
Left,1,26.27306,(0.16181* -0.77116* -0.55851* -0.25922),(0.13214* -0.74665* -0.58044* -0.29688),0.168335,0.3526006,(0.53974* -0.39747* 0.60367* -0.43161),0.4703217,-1.614532
Left,1,26.29643,(0.16181* -0.77116* -0.55851* -0.25922),(0.13261* -0.74634* -0.58066* -0.29702),0.2105103,0.3798704,(0.53701* -0.40008* 0.60424* -0.43180),0.7362366,-1.958191
Left,1,26.3285,(0.16181* -0.77116* -0.55851* -0.25922),(0.13254* -0.74611* -0.58099* -0.29700),0.2192688,0.425745,(0.53672* -0.39960* 0.60627* -0.42976),1.008423,-1.75592
Left,1,26.35226,(0.16181* -0.77116* -0.55851* -0.25922),(0.13257* -0.74606* -0.58094* -0.29720),0.2073059,0.4265547,(0.53736* -0.39929* 0.60666* -0.42870),1.075447,-1.627716
Left,1,26.38453,(0.16181* -0.77116* -0.55851* -0.25922),(0.13194* -0.74605* -0.58114* -0.29712),0.1643677,0.4623532,(0.53923* -0.39818* 0.60664* -0.42741),1.046021,-1.372986
Left,1,26.4078,(0.16181* -0.77116* -0.55851* -0.25922),(0.13181* -0.74617* -0.58096* -0.29722),0.1396179,0.4449663,(0.54109* -0.39684* 0.60676* -0.42613),1.011719,-1.096375
Left,1,26.44023,(0.16181* -0.77116* -0.55851* -0.25922),(0.13212* -0.74609* -0.58080* -0.29761),0.1355896,0.4315586,(0.54422* -0.39474* 0.60662* -0.42429),0.9199371,-0.6715698
Left,1,26.4634,(0.16181* -0.77116* -0.55851* -0.25922),(0.13249* -0.74578* -0.58072* -0.29839),0.1173096,0.4438467,(0.54636* -0.39310* 0.60640* -0.42337),0.8125229,-0.387207
Left,1,26.4952,(0.16181* -0.77116* -0.55851* -0.25922),(0.13297* -0.74543* -0.58013* -0.30016),0.02548218,0.4231772,(0.54814* -0.39205* 0.60534* -0.42356),0.6106262,-0.2549744
Left,1,26.51865,(0.16181* -0.77116* -0.55851* -0.25922),(0.13280* -0.74545* -0.57950* -0.30141),-0.09277344,0.388278,(0.55009* -0.39131* 0.60459* -0.42278),0.5182648,-0.07727051
Left,1,26.5417,(0.16181* -0.77116* -0.55851* -0.25922),(0.13186* -0.74536* -0.57972* -0.30163),-0.181366,0.4453769,(0.55284* -0.38932* 0.60466* -0.42092),0.4659271,0.328186
Left,1,26.57368,(0.16181* -0.77116* -0.55851* -0.25922),(0.13068* -0.74525* -0.58013* -0.30163),-0.2705078,0.5252957,(0.55729* -0.38508* 0.60586* -0.41723),0.4475021,1.138397
Left,1,26.59705,(0.16181* -0.77116* -0.55851* -0.25922),(0.13086* -0.74535* -0.57999* -0.30156),-0.2562866,0.4990497,(0.55870* -0.38336* 0.60671* -0.41568),0.4803696,1.460754
Left,1,26.62061,(0.16181* -0.77116* -0.55851* -0.25922),(0.13174* -0.74563* -0.57976* -0.30095),-0.1478577,0.4259343,(-0.56109* 0.38066* -0.60805* 0.41298),0.5474243,1.991394
Left,1,26.64076,(0.16181* -0.77116* -0.55851* -0.25922),(0.13255* -0.74596* -0.57954* -0.30018),-0.03759766,0.3508582,(-0.56169* 0.37990* -0.60837* 0.41240),0.5509567,2.124786
Left,1,26.6637,(0.16181* -0.77116* -0.55851* -0.25922),(0.13360* -0.74614* -0.57952* -0.29931),0.1095276,0.2934713,(-0.56224* 0.37896* -0.60872* 0.41199),0.5345535,2.263123
Left,1,26.69604,(0.16181* -0.77116* -0.55851* -0.25922),(0.13494* -0.74621* -0.57959* -0.29840),0.2893066,0.2410035,(-0.56336* 0.37730* -0.60928* 0.41116),0.5065613,2.518036
Left,1,26.71956,(0.16181* -0.77116* -0.55851* -0.25922),(0.13565* -0.74628* -0.57944* -0.29818),0.3598633,0.198823,(-0.56415* 0.37635* -0.60921* 0.41105),0.4325638,2.639862
Left,1,26.74253,(0.16181* -0.77116* -0.55851* -0.25922),(0.13630* -0.74662* -0.57895* -0.29799),0.4105225,0.1116529,(-0.56526* 0.37515* -0.60891* 0.41107),0.3113556,2.783936
Left,1,26.76309,(0.16181* -0.77116* -0.55851* -0.25922),(0.13711* -0.74678* -0.57883* -0.29744),0.5118103,0.05796289,(-0.56558* 0.37477* -0.60887* 0.41102),0.2818604,2.832733
Left,1,26.78642,(0.16181* -0.77116* -0.55851* -0.25922),(0.13765* -0.74698* -0.57883* -0.29671),0.6049194,0.01889849,(-0.56537* 0.37487* -0.60828* 0.41211),0.1710358,2.736664
Left,1,26.81889,(0.16181* -0.77116* -0.55851* -0.25922),(0.13616* -0.74616* -0.58107* -0.29508),0.6648865,0.292428,(-0.56489* 0.37547* -0.60779* 0.41294),0.1248016,2.603699
Left,1,26.85218,(0.16181* -0.77116* -0.55851* -0.25922),(0.13834* -0.74621* -0.58039* -0.29526),0.821106,0.1653428,(-0.56522* 0.37531* -0.60754* 0.41298),0.08747864,2.623444
Left,1,26.87558,(0.16181* -0.77116* -0.55851* -0.25922),(0.13982* -0.74598* -0.57990* -0.29611),0.8808289,0.1044064,(-0.56582* 0.37488* -0.60719* 0.41308),0.0154953,2.672638
Left,1,26.90748,(0.16181* -0.77116* -0.55851* -0.25922),(0.14163* -0.74782* -0.57780* -0.29472),1.043274,-0.2749014,(-0.56622* 0.37440* -0.60708* 0.41313),-0.03395081,2.726471
Left,1,26.93043,(0.16181* -0.77116* -0.55851* -0.25922),(0.13844* -0.74813* -0.57924* -0.29260),0.9472351,-0.1014113,(-0.56647* 0.37412* -0.60697* 0.41319),-0.06858826,2.75592
Left,1,26.95364,(0.16181* -0.77116* -0.55851* -0.25922),(0.13835* -0.74563* -0.58300* -0.29155),1.160187,0.3798647,(-0.56712* 0.37361* -0.60696* 0.41278),-0.08505249,2.853088
Left,1,26.97448,(0.16181* -0.77116* -0.55851* -0.25922),(0.13930* -0.74653* -0.58083* -0.29314),1.056152,0.124289,(-0.56748* 0.37341* -0.60689* 0.41257),-0.09456635,2.896851
