Posture  ,Direction ,Mean                ,Std
Standing ,Right     ,129.069630625       ,44.24842313634676
Standing ,UpRight   ,116.20862041666666  ,47.58443438344234
Standing ,Up        , 84.316593125       ,22.37302274715304
Standing ,UpLeft    ,126.19799312500001  ,47.01282045114477
Standing ,Left      ,132.09105270833334  ,46.388800244993945
Standing ,DownLeft  ,120.81054583333334  ,55.62368859449507
Standing ,Down      , 88.305510625       ,36.51147632710646
Standing ,DownRight ,116.333029375       ,48.8564013274522
Lying    ,Right     , 69.42139072916666  ,33.84663899379178
Lying    ,UpRight   , 48.120031041666664 ,21.380849963901625
Lying    ,Up        , 40.064265          ,16.99643618664336
Lying    ,UpLeft    , 45.752590104166664 ,15.854540129845065
Lying    ,Left      , 61.25739614583333  ,20.42339410735837
Lying    ,DownLeft  , 61.030260416666664 ,23.55580883323903
Lying    ,Down      , 54.874085625       ,43.79424791854358
Lying    ,DownRight , 62.598076354166665 ,30.56693941044049
