Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Right,1,0,0,0,0,0,0
Right,1,-0.02294111,0.01323476,0.03512836,0.01303101,0.002929688,0.02972412
Right,1,-0.1178074,0.02069584,0.01398078,0.1303406,-0.01693726,-0.003479004
Right,1,-0.2090073,-0.02081555,-0.1023402,0.2397156,-0.0322876,-0.01507568
Right,1,-0.1877608,-0.009507343,-0.08940685,0.2606506,-0.04388428,-0.006988525
Right,1,-0.1814947,-0.008424953,-0.07866643,0.231842,-0.03762817,0.006469727
Right,1,-0.1851707,-0.03466637,-0.03865972,0.2139893,-0.043396,0.02905273
Right,1,-0.1987967,-0.02392623,-0.03001118,0.2050781,-0.04629517,0.04037476
Right,1,-0.2192221,-0.0162092,-0.05311011,0.2249451,-0.03540039,0.03826904
Right,1,-0.2429547,-0.007674888,-0.06768855,0.2935791,-0.02993774,0.02059937
Right,1,-0.2682829,-0.02129598,-0.1047585,0.3522339,-0.03494263,0.00402832
Right,1,-0.3593421,0.01193097,-0.1729386,0.429718,-0.03668213,-0.02490234
Right,1,-0.4876323,0.09762672,-0.2144221,0.5281677,-0.07009888,-0.04562378
Right,1,-0.6864524,0.06639096,-0.3309021,0.6663818,-0.09188843,-0.07055664
Right,1,-0.8419299,0.06178093,-0.490509,0.8502808,-0.1223755,-0.141571
Right,1,-1.037305,0.03270692,-0.8207092,1.008423,-0.1137085,-0.1684875
Right,1,-1.220577,-0.1699719,-1.32135,1.147675,-0.1181946,-0.183075
Right,1,-1.590301,-0.2658386,-1.782837,1.322662,-0.1421509,-0.2426147
Right,1,-1.829005,-0.2705078,-2.36731,1.419128,-0.1416321,-0.2835999
Right,1,-1.86407,-0.3361511,-2.941956,1.946228,-0.1303406,-0.4411011
Right,1,-1.875852,-0.2889404,-3.47818,2.256592,-0.1327209,-0.5552368
Right,1,-1.799521,-0.3613281,-3.978516,2.339172,-0.1353149,-0.6355286
Right,1,-1.719774,-0.2420654,-4.693634,2.252625,-0.163208,-0.6985779
Right,1,-1.954346,-0.25177,-5.171692,2.269592,-0.215271,-0.8337402
Right,1,-1.750061,-0.4652405,-5.851318,2.534424,-0.269165,-1.004211
Right,1,-1.426325,-0.4528198,-6.478027,2.821228,-0.308136,-1.156006
Right,1,-1.72736,-0.362915,-7.034485,2.988708,-0.3708191,-1.295624
Right,1,-1.658304,-0.2668152,-7.884521,3.163239,-0.418396,-1.466522
Right,1,-1.557477,-0.2078723,-8.661011,3.406616,-0.4442139,-1.654144
Right,1,-1.891409,0.08241186,-9.320526,3.906067,-0.4338074,-1.897034
Right,1,-1.941514,0.09641662,-10.06705,4.019775,-0.4421997,-1.96933
Right,1,-2.046675,0.3365486,-10.67944,4.053406,-0.4519043,-2.145996
Right,1,-2.206218,0.3404433,-11.32184,3.998474,-0.5137329,-2.303955
Right,1,-1.974744,0.116873,-12.22009,3.991913,-0.5513306,-2.374756
Right,1,-2.119847,0.1033555,-12.95764,3.956421,-0.5706482,-2.432556
Right,1,-2.565499,0.1678809,-13.93558,3.929047,-0.576355,-2.511566
Right,1,-2.373631,-0.04477668,-15.10883,3.92688,-0.5932007,-2.644012
Right,1,-2.2178,-0.03523968,-16.13626,3.893921,-0.618042,-2.783752
Right,1,-1.876737,-0.1743354,-17.39301,3.801239,-0.6724243,-3.030151
Right,1,-1.473226,-0.1271815,-18.60266,3.86438,-0.7210388,-3.219757
Right,1,-1.736145,0.06352645,-19.92734,3.928497,-0.7118835,-3.39917
Right,1,-1.431217,0.307491,-21.36261,4.188171,-0.7304993,-3.637268
Right,1,-0.9807796,0.4272882,-22.65906,4.330261,-0.7715454,-3.843933
Right,1,-1.488557,0.8586068,-23.89215,4.510498,-0.8514404,-4.074219
Right,1,-0.9201045,1.031944,-25.08365,5.117584,-0.9429321,-4.241241
Right,1,-0.3440003,1.334707,-26.03107,5.525635,-0.9902954,-4.389984
Right,1,-0.4033442,1.944365,-27.39557,5.780823,-1.008057,-4.565308
Right,1,0.292696,2.592955,-28.88748,5.964691,-1.021606,-4.754303
Right,1,0.553534,2.54604,-30.10605,6.161102,-1.040955,-4.91391
Right,1,0.4474301,3.222493,-31.14127,6.530151,-1.054718,-5.04834
Right,1,1.497637,3.351605,-32.29312,6.797058,-1.06131,-5.203888
Right,1,2.078013,2.88344,-33.21597,6.804535,-1.034454,-5.346252
Right,1,1.992229,3.560716,-34.16742,6.996307,-0.9749451,-5.444305
Right,1,2.40893,3.802355,-35.51776,7.238617,-0.960022,-5.536743
Right,1,2.6041,3.613715,-36.49127,7.28302,-0.9356384,-5.601379
Right,1,2.949534,4.085693,-37.65143,7.496338,-0.9311523,-5.681061
Right,1,3.516348,3.878246,-38.91269,7.777466,-0.9391174,-5.787018
Right,1,3.634885,3.984106,-39.83997,7.792053,-0.9237061,-5.848907
Right,1,4.007678,4.378839,-41.34409,7.945709,-0.927002,-5.923218
Right,1,4.470718,3.972562,-42.80389,8.027161,-0.9030457,-6.021362
Right,1,4.981633,4.008524,-44.22113,8.113037,-0.8746033,-6.069397
Right,1,5.646198,4.336302,-45.80338,8.188965,-0.8456421,-6.116547
Right,1,5.727245,4.194267,-47.07538,8.161133,-0.815033,-6.204895
Right,1,5.722738,4.227952,-48.2196,8.194702,-0.7805176,-6.278564
Right,1,5.813794,4.436904,-49.30771,8.259827,-0.7801819,-6.334808
Right,1,5.995166,4.423866,-50.43289,8.176819,-0.7705383,-6.367798
Right,1,6.080409,4.505875,-51.30792,8.084808,-0.7611389,-6.389923
Right,1,6.169817,4.602555,-52.13199,8.092133,-0.7687073,-6.420837
Right,2,0,0,0,0,0,0
Right,2,0.09186172,-0.08444947,0.04796481,0.1454773,0.0001831055,-0.05535889
Right,2,0.3767776,0.07734996,0.03100002,0.3436584,0.03399658,-0.08496094
Right,2,0.6443019,0.0405671,0.1333849,0.607666,0.05661011,-0.1620483
