Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Right,1,0,0,0,0,0,0
Right,1,0.0201416,-0.04019165,0.009726524,-0.009735107,-0.03039551,0.0201416
Right,1,0.1108704,-0.1210938,0.05837014,0.2909546,-0.05090332,0.06585693
Right,1,0.2007141,-0.1209106,0.0470255,0.3311462,-0.05102539,0.07525635
Right,1,0.2811584,-0.1114502,0.07582033,-0.03884888,-0.05157471,0.08068848
Right,1,0.3120728,-0.07254028,0.1353543,0.3414001,-0.02139282,0.09518433
Right,1,0.3522034,-0.04272461,0.1447518,0.3112488,-0.01126099,0.08560181
Right,1,0.4125061,-0.04309082,0.1638458,-0.08914185,-0.04129028,0.06143188
Right,1,0.4328003,-0.07345581,0.1835393,0.5159607,0.09033203,1.08432
Right,1,0.4222107,-0.0927124,0.143702,0.1864014,-0.03799438,0.4380798
Right,1,0.4723511,-0.1429138,0.152949,0.4802551,0.07492065,1.375366
Right,1,0.4826355,-0.14328,0.1727923,0.5013428,0.08364868,1.44516
Right,1,0.5224915,-0.1330872,0.1621955,-0.3435974,-0.2358398,-0.2454834
Right,1,0.5527954,-0.1434631,0.1817383,0.07965088,-0.07229614,0.6600647
Right,1,0.5827637,-0.1334534,0.1812881,0.2382813,-0.050354,0.5675354
Right,1,0.6730652,-0.1038208,0.1999294,-0.03286743,-0.05929565,0.491394
Right,1,0.7330627,-0.07382202,0.1990285,0.3296204,-0.04193115,0.6563416
Right,1,0.7832031,-0.0340271,0.2082734,0.3462219,-0.0475769,0.4256897
Right,1,0.8627625,0.04653931,0.1770856,-0.02444458,-0.02719116,0.3811035
Right,1,0.9223022,0.177063,0.1461994,0.00567627,0.07263184,0.390625
Right,1,1.002136,0.3472595,0.1350044,0.4067993,0.1817627,0.4648743
Right,1,1.031219,0.6583557,0.07458508,0.756897,0.322052,0.4697266
Right,1,0.9194336,1.270569,-0.04373771,0.7474976,0.5612793,0.5098877
Right,1,0.7972107,2.053345,-0.1918797,0.5314636,0.9035034,1.454742
Right,1,0.51651,3.344269,-0.2376933,0.4182739,1.38504,1.907227
Right,1,0.1755066,5.405548,-0.3026199,0.3804016,1.702423,2.048035
Right,1,-0.144165,7.125153,-0.2778698,0.2931213,2.199005,2.229706
Right,1,-0.4938354,8.964691,-0.2526691,0.5686035,2.597076,1.263824
Right,1,-0.7446899,10.90573,-0.3089553,0.4958191,3.030487,1.074615
Right,1,-0.8664551,12.72791,-0.4271851,0.3778992,3.457703,1.216614
Right,1,-0.9368896,14.53845,-0.4561768,0.2451172,4.208649,1.699493
Right,1,-0.9576111,16.24936,-0.5058899,0.1651306,4.946411,2.361908
Right,1,-0.8099976,17.8324,-0.6681213,0.0234375,5.666382,2.90509
Right,1,-0.7406006,19.38315,-0.709137,-0.05316162,6.294067,2.475464
Right,1,-0.5713806,20.83414,-0.7616577,-0.2424316,7.074921,1.867218
Right,1,-0.3625488,22.12567,-0.8447571,-0.1860657,8.165497,2.938416
Right,1,-0.1838989,23.40741,-0.9373779,0.5524597,9.040131,2.185638
Right,1,-0.08508301,24.57892,-1.01886,0.7499695,9.945679,1.351257
Right,1,-0.0255127,25.74948,-1.049744,0.2224731,10.97778,2.841888
Right,1,0.06344604,26.8208,-1.121033,0.1815796,12.00882,2.78241
Right,1,0.1125793,27.79193,-1.181763,0.572052,13.65714,3.457489
Right,1,0.1324158,28.8721,-1.192017,0.8555908,15.34222,4.314362
Right,1,0.1325684,30.04193,-1.182037,0.8062134,16.51144,4.355225
Right,1,0.2037354,31.22043,-1.103058,0.768158,17.63928,4.476013
Right,1,0.1950378,32.41876,-1.012939,0.1945496,18.38245,4.254822
Right,1,0.07592773,33.80762,-0.9512024,0.4949646,20.0824,4.28006
Right,1,0.02740479,35.24576,-0.8504639,0.7636719,20.98108,1.601471
Right,1,-0.0008239746,36.70352,-0.7300415,0.6041565,22.1727,0.9627991
Right,1,-0.05023193,38.04276,-0.6893005,0.09951782,23.50308,1.992218
Right,1,-0.1711121,39.43387,-0.7475891,0.4878845,24.8179,1.214966
Right,1,-0.3110962,40.74384,-0.7455139,0.5437317,26.23318,0.9336548
Right,1,-0.3813782,42.0542,-0.7644653,0.4831543,27.57382,0.8944702
Right,1,-0.4910583,43.38379,-0.7428589,0.4716492,28.93567,0.7944641
Right,1,-0.5312195,44.70395,-0.7522583,0.3804626,30.29706,0.7156982
Right,1,-0.6119385,46.02487,-0.8011169,0.43927,31.71863,0.6346436
Right,1,-0.6723633,47.30542,-0.8302307,0.4359131,33.77292,0.4043579
Right,1,-0.7714844,49.15427,-0.7687683,0.4840088,35.06543,0.2733765
Right,1,-0.8117676,50.31464,-0.788147,0.1995239,35.84085,-0.03295898
Right,1,-0.842804,51.33591,-0.8577271,-0.0413208,36.69162,-0.08956909
Right,1,-0.8036804,52.19705,-0.918335,-0.1637573,37.63464,-0.2581177
Right,1,-0.8644104,52.96796,-0.9674377,-0.245636,38.457,-0.387207
Right,2,0,0,0,0,0,0
Right,2,-0.0201416,0.0001834035,-0.00970459,-0.3704224,-0.02001953,-0.02453613
Right,2,-0.04971313,-0.01037639,0.02072144,-0.370575,-0.06985474,-0.03457642
Right,2,-0.02957153,0.01944065,0.03042603,-0.04959106,-0.09063721,0.03079224
Right,2,0.0105896,0.0392592,0.03985596,-0.432312,-0.1277161,-0.1539001
Right,2,0.08117676,0.06852531,0.0788269,0.007751465,-0.0871582,-0.1504517
Right,2,0.1716003,0.1879768,0.1074829,-0.02734375,-0.08337402,0.1807251
Right,2,0.3009949,0.3887241,0.06555176,-0.4504089,-0.01019287,-0.02334595
Right,2,0.3699646,0.7500234,-0.005462646,-0.4016113,0.1514282,-0.1042786
Right,2,0.307312,1.323364,-0.1845398,0.04937744,0.3408203,-0.04083252
Right,2,0.2354126,2.145779,-0.3134766,0.1500549,0.5275879,0.6789856
Right,2,0.152771,3.249131,-0.4922485,0.09011841,1.043304,2.002289
Right,2,0.1595764,4.653244,-0.7123718,0.1025696,1.560425,2.162384
Right,2,0.1879578,6.21531,-0.8228149,0.1465759,2.267548,1.770996
Right,2,0.1672363,7.916245,-0.872467,0.02874756,3.264832,1.913086
Right,2,0.1273804,9.656054,-0.861908,0.2344055,4.960266,1.629395
Right,2,0.1373901,11.32606,-0.86203,0.185791,5.708527,1.720306
Right,2,0.1263733,13.05737,-0.9318848,0.1003418,7.041382,2.66333
Right,2,0.135376,14.77869,-1.002045,0.2610168,8.55249,2.059753
Right,2,0.1445007,16.55981,-1.062164,0.1933289,10.13965,2.21106
Right,2,0.1436157,18.41094,-1.122162,0.1939697,12.06894,2.251129
Right,2,0.111908,20.3432,-1.241699,1.280334,14.78293,2.654816
Right,2,0.03033447,22.35527,-1.350555,1.079315,16.55246,3.228821
Right,2,-0.02093506,24.53696,-1.439819,0.9255676,18.16653,2.990875
Right,2,-0.1824951,26.75903,-1.547516,0.9481506,19.48676,1.868805
Right,2,-0.3030701,29.08977,-1.585785,1.137848,21.26736,1.845856
Right,2,-0.2434998,31.40034,-1.616638,1.525421,22.97501,0.3578491
Right,2,-0.2742004,33.64128,-1.666199,0.8556824,23.70398,0.3778687
Right,2,-0.2447815,35.77204,-1.706635,0.9452209,25.12466,0.3464966
Right,2,-0.1157837,37.8034,-1.778473,0.855072,26.81473,0.3378296
Right,2,0.003051758,39.63493,-1.860138,0.7928467,28.33743,0.1884766
Right,2,0.0713501,41.38722,-1.98114,0.8535767,29.97659,0.2377014
Right,2,0.2202148,42.94875,-2.063232,0.8717957,31.47882,0.117218
Right,2,0.4499207,44.34915,-2.086487,0.9104614,32.98056,0.02648926
Right,2,0.6604614,45.55837,-2.049469,0.9794006,34.49197,-0.0446167
Right,2,0.7805786,46.68818,-2.041168,1.069153,35.99243,-0.065979
Right,2,0.8526917,47.71532,-1.892212,0.6462097,36.86563,-0.2600403
Right,2,0.7939758,48.67361,-1.801422,0.5453491,38.1066,-0.3186951
Right,2,0.7258301,49.52114,-1.670441,0.513031,39.12958,-0.4784546
Right,2,0.6758423,50.34115,-1.669739,0.4281006,40.12585,-0.8178101
Right,2,0.5262756,50.97059,-1.637604,0.4147644,41.1102,-1.048004
Right,3,0,0,0,0,0,0
Right,3,-0.08942439,0.05924225,0.04125977,-0.06771851,0.03707886,0.1513342
Right,3,-0.1695579,0.1194334,0.03240967,-0.03149414,0.02178955,-0.09970492
Right,3,-0.2398376,0.1898131,0.01339722,0.06192017,-0.04995728,-0.5419265
Right,3,-0.3196716,0.2396201,0.02453613,0.1372986,-0.1040649,-0.8536682
Right,3,-0.3894043,0.2892367,0.04550171,0.118042,-0.1250305,-0.8032532
Right,3,-0.389679,0.3296169,0.02554321,0.04071045,-0.1984863,-0.6217812
Right,3,-0.3096924,0.3796207,0.02441406,0.04025269,-0.2479248,-0.6518294
Right,3,-0.2893982,0.4292415,0.0440979,0.05969238,-0.2971802,-0.6921945
Right,3,-0.2691345,0.448862,0.06381226,0.03161621,-0.3196106,-0.5615345
Right,3,-0.2588501,0.4784812,0.0836792,0.01324463,-0.3416748,-0.451028
Right,3,-0.1688487,0.5084826,0.08239746,0.01547241,-0.3544617,-0.3007862
Right,3,-0.09899805,0.5386721,0.07138062,0.02487183,-0.3536987,-0.3410017
Right,3,-0.08928212,0.6090525,0.05126953,0.05371094,-0.3521729,-0.4215836
Right,3,-0.07956697,0.7194318,0.03112793,0.06326294,-0.351593,-0.4517825
Right,3,-0.08984943,0.949813,0.01126099,-0.01525879,-0.2835693,-0.3504405
Right,3,-0.0304216,1.300572,-0.02957153,-0.02178955,-0.1078491,-0.1198896
Right,3,-0.01098898,1.891332,-0.0697937,0.10849,0.06442261,-0.7730718
Right,3,-0.07168956,2.722286,-0.1189575,0.03295898,0.4487,-0.4713897
Right,3,-0.1125324,3.82343,-0.1783752,0.07144165,0.9906311,-0.5721245
Right,3,-0.1228133,5.333813,-0.1982422,0.02819824,1.672241,-0.1206488
Right,3,-0.1126734,7.083621,-0.188385,0.03179932,2.427826,0.1197567
Right,3,-0.01338768,9.004571,-0.2397766,-0.05377197,3.602356,0.4116173
Right,3,0.0175959,10.98324,-0.1702271,-0.07873535,4.816284,0.7426315
Right,3,0.06815499,13.17247,-0.1309509,0.02999878,5.950043,-0.0004569292
Right,3,0.08716571,15.30381,-0.2012024,-0.04693604,7.516235,0.2011119
Right,3,0.03773475,17.40305,-0.1604919,0.04260254,8.996918,0.169686
Right,3,-0.09211121,19.45286,-0.1486816,-0.1871338,10.67252,1.495761
Right,3,-0.2625122,21.42343,-0.1762695,0.4640503,12.88214,1.565674
Right,3,-0.4534912,23.39476,-0.2435608,0.5441589,14.37207,1.574433
Right,3,-0.5734863,25.19475,-0.2418823,0.5907593,15.75464,1.994406
Right,3,-0.7345886,26.93626,-0.3196106,1.058685,16.99301,-0.09621602
Right,3,-0.8452759,28.5972,-0.3680725,0.7098694,17.69614,-1.363068
Right,3,-0.9059753,30.19814,-0.4172363,0.4274292,18.81894,-1.529175
