Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Left,1,0,0,0,0,0,0
Left,1,-0.01065063,0.03793335,-0.08932263,-0.07421207,-0.07077026,-0.03152275
Left,1,0.02203369,-0.03338623,-0.1535991,0.0006325245,-0.06762695,0.09060645
Left,1,0.00567627,-0.08273315,-0.121459,0.02690434,-0.09854126,0.05727243
Left,1,-0.03167725,-0.1123352,-0.09688467,1.006085,0.452179,0.1631522
Left,1,-0.05154419,-0.1323547,-0.09452188,2.017793,-1.350342,-4.706329
Left,1,-0.08770752,-0.1417236,-0.06002367,2.05147,-1.713867,-5.516968
Left,1,-0.1607666,-0.1625366,-0.08152765,2.043112,-1.754913,-5.586548
Left,1,-0.1993103,-0.2123718,-0.06687832,3.318813,-1.074707,-4.944061
Left,1,-0.1993103,-0.2123718,-0.06687832,3.48204,-0.6900635,-4.590576
Left,1,-0.1508484,-0.1825256,-0.08270562,3.410948,-0.6179504,-4.511353
Left,1,-0.1134644,-0.1528931,-0.1072826,3.441922,-0.5981445,-4.505035
Left,1,-0.05270386,-0.1225891,-0.1044463,3.453043,-0.5980835,-4.496277
Left,1,0.01443481,-0.06292725,-0.1325651,3.444305,-0.6377869,-4.485138
Left,1,0.02438354,-0.06292725,-0.1337497,4.339396,-0.8309937,-4.159576
Left,1,0.1026001,-0.1130371,-0.1531224,5.003768,-1.177338,-4.078674
Left,1,0.2019348,-0.1329346,-0.1649389,5.018453,-1.216797,-4.04007
Left,1,0.2924805,-0.1426392,-0.1656449,5.244367,-1.135651,-3.835327
Left,1,0.2440186,-0.1724548,-0.1498128,5.359102,-1.03479,-3.718018
Left,1,0.2177734,-0.1717834,-0.1164923,5.380147,-1.034943,-3.71048
Left,1,0.1459045,-0.1723328,-0.1280749,1.834306,0.02026367,-0.1568065
Left,1,0.06878662,-0.1819458,-0.09877199,4.496451,-0.7722168,-2.674774
Left,1,0.03665161,-0.1924438,-0.1150781,5.254352,-1.31076,-4.088928
Left,1,0.0489502,-0.2019958,-0.09640962,5.256362,-1.363708,-4.24057
