Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Up,1,0,0,0,0,0,0
Up,1,-0.001720408,-0.01028442,-0.01010895,0.0355835,-0.06034851,0.05901718
Up,1,0.02775473,0.01324463,-0.0181241,0.0355835,-0.04026794,0.05897522
Up,1,0.05108643,0.006195068,-0.006570339,0.07162476,-0.2303772,0.2579956
Up,1,0.05459549,-0.01318359,0.01369953,0.1005554,-0.3505249,0.3872757
Up,1,0.02295397,0.01266479,-0.01845169,1.76651,-12.79791,11.96134
Up,1,-0.009233775,-0.02145386,-0.04070711,3.565613,-20.17697,18.42538
Up,1,-0.02061291,-0.02233887,0.01864481,0.3303223,-2.312408,2.253502
Up,1,0.002807271,-0.01873779,0.100456,3.597046,-20.14938,18.44653
Up,1,0.009118581,-0.01751709,0.1509588,3.53775,-19.8308,18.20843
Up,1,0.03286032,-0.01345825,0.2728539,2.005005,-13.63446,12.77176
Up,1,0.02751839,-0.02304077,0.3927531,3.739349,-20.69774,19.04425
Up,1,0.02728828,-0.03237915,0.472877,3.760773,-20.60828,18.90238
Up,1,0.06330045,-0.0168457,0.5753739,3.141266,-18.54428,17.15069
Up,1,0.114069,0.001220703,0.7386825,3.015747,-17.91185,16.59945
Up,1,0.1540001,0.009368896,1.03138,4.067566,-21.5665,19.77557
Up,1,0.1709102,0.01489258,1.352708,4.008575,-21.45863,19.6895
Up,1,0.1502843,0.006744385,1.802274,4.029541,-21.81734,20.00068
Up,1,0.1553318,-0.02804565,2.2431,2.122467,-14.74434,13.78231
Up,1,0.1584598,-0.07226563,2.753879,0.3869629,-3.967682,3.819855
Up,1,0.1538408,-0.07824707,3.214187,0.252533,-3.24234,3.128216
Up,1,0.152715,-0.02490234,3.55449,3.605865,-21.48112,19.69019
Up,1,0.217932,0.03762817,3.787632,3.760986,-22.32794,20.42788
Up,1,0.2835965,0.1082458,3.820331,2.092407,-16.57213,15.42144
Up,1,0.3275566,0.1336975,3.701882,4.064301,-23.75917,21.68005
Up,1,0.2939126,0.1285706,3.710657,4.175964,-24.06604,21.9352
Up,1,0.2360601,0.1121521,3.938548,4.209625,-24.19377,22.07318
Up,1,0.1988132,-0.03048706,4.237231,4.318085,-24.59549,22.37398
Up,1,0.1555053,-0.1030884,4.655764,4.180298,-24.34253,22.19464
Up,1,0.10311,-0.03930664,4.893636,4.163818,-24.40898,22.28284
Up,1,0.08761565,-0.03717041,5.373455,4.291138,-24.84038,22.62313
Up,1,0.1564988,-0.1441956,6.457402,4.291138,-24.77039,22.62313
Up,1,0.1526323,-0.1192322,6.997669,4.192963,-24.78094,22.65814
Up,1,0.1147024,-0.08303833,7.316421,1.160034,-13.33484,12.606
Up,1,0.08210625,-0.05487061,7.755461,4.01178,-24.39996,22.32051
Up,1,0.07472224,-0.04367065,8.025363,1.929932,-17.90994,16.64343
Up,1,0.1046536,-0.09399414,8.406878,3.23111,-22.98576,21.09419
Up,1,0.1402917,-0.07315063,8.778503,3.934753,-25.27692,23.03895
Up,1,0.1300021,-0.06018066,9.268464,1.158051,-14.28244,13.46762
Up,1,0.2461829,-0.04846191,9.9628,0.418335,-9.44046,9.085655
Up,1,0.2774551,0.01174927,10.2739,0.01751709,-7.030609,6.693096
Up,1,0.3523829,0.06304932,10.69618,-0.1953735,-5.520676,5.16687
Up,1,0.442562,0.1383972,11.12852,-0.2329712,-5.364258,4.991325
Up,1,0.4824125,0.1815796,11.44948,-0.2547913,-5.346329,4.944016
Up,1,0.6880784,0.2077942,12.0931,-0.2783203,-5.149567,4.747635
Up,1,0.7590925,0.2895508,12.424,-0.3017883,-4.961243,4.549717
Up,1,0.7422271,0.3673401,13.15391,3.578979,-24.95784,22.76021
Up,1,0.748787,0.35672,14.25416,4.188049,-26.12108,23.76217
Up,1,0.7302734,0.3383789,14.64402,4.216309,-26.17909,23.81984
Up,1,0.7372153,0.3711243,15.32419,4.147095,-26.0477,23.74009
Up,1,0.7747715,0.3918457,15.98469,4.275818,-26.42081,24.06237
Up,1,0.7156348,0.4821777,16.36412,4.12439,-26.21599,23.94174
Up,1,0.7088174,0.40979,16.95412,4.093262,-26.00874,23.75336
Up,1,0.6976041,0.3979797,17.03401,4.03952,-26.01033,23.76708
Up,1,0.6609172,0.4212952,17.89368,4.052246,-25.97516,23.731
Up,1,0.6484567,0.4163208,18.44359,3.828979,-25.57367,23.38375
Up,1,0.6199149,0.4860229,18.96329,3.61203,-25.23438,23.09921
