Direction,tCount,headX,headY,headZ,trunkX,trunkY,trunkZ
Left,1,0,0,0,0,0,0
Left,1,0.0184021,0.06954622,-0.2156677,0.05148029,-0.05282593,0.01535034
Left,1,0.04949951,0.1038523,-0.3188477,0.05468202,-0.09338379,0.04345703
Left,1,0.07128906,0.1062717,-0.3782349,0.06869352,-0.1240845,0.0418396
Left,1,0.07287598,0.1055789,-0.3641663,0.09056056,-0.1352844,0.04641724
Left,1,0.06665039,0.07531595,-0.3563538,0.08896995,-0.144989,0.03237915
Left,1,0.02288818,0.09651423,-0.3656616,0.08419895,-0.144165,-0.009735107
Left,1,-0.05981445,0.1467638,-0.3421021,0.02488768,-0.1408081,-0.03134155
Left,1,-0.1535339,0.2287788,-0.3529053,0.04977548,-0.1616516,-0.06265259
Left,1,-0.2472534,0.2907495,-0.3637085,0.02473247,-0.1898499,-0.09533691
Left,1,-0.3269043,0.3325415,-0.3760986,0.03095531,-0.2400208,-0.1031799
Left,1,-0.3612976,0.3657894,-0.4291992,0.07002985,-0.292572,-0.07211304
Left,1,-0.3676453,0.388833,-0.4854736,0.06380773,-0.3323364,-0.06427002
Left,1,-0.3864441,0.4647059,-0.5901184,0.06380796,-0.392334,-0.06427002
Left,1,-0.4037781,0.5434408,-0.7448425,0.0373311,-0.4811707,-0.04699707
Left,1,-0.3960876,0.6837263,-0.9308472,0.01705551,-0.5802917,-0.03756714
Left,1,-0.3883972,0.8342781,-1.116852,-0.0218451,-0.7287903,-0.004608154
Left,1,-0.368103,0.9319057,-1.254364,-0.2093258,-0.8267822,-0.1536865
Left,1,-0.4477539,0.9822731,-1.394989,-0.1232814,-0.9833984,-0.0213623
Left,1,-0.5429993,0.9501228,-1.484009,-0.3685758,-1.136993,-0.2420349
Left,1,-0.5882874,0.8186378,-1.443359,-0.4122843,-1.294617,-0.2512512
Left,1,-0.585144,0.6467824,-1.415222,-0.359067,-1.499176,-0.1577759
Left,1,-0.5898438,0.3555169,-1.393341,-0.1385031,-1.785461,0.1582031
Left,1,-0.5804749,0.01004362,-1.30896,-0.1523993,-2.035767,0.2238159
Left,1,-0.5632935,-0.4019823,-1.282379,-0.1272025,-2.328247,0.3205261
Left,1,-0.5055237,-0.813735,-1.274597,-0.09579766,-2.640839,0.4093933
Left,1,-0.414978,-1.258597,-1.227783,-0.05990958,-2.962524,0.4123535
Left,1,-0.3478394,-1.708014,-1.263763,-0.1238713,-3.279602,0.4126282
Left,1,-0.2150879,-2.213642,-1.221649,-0.3286519,-3.647736,0.2369995
Left,1,-0.1042175,-2.742044,-1.120178,-0.06597888,-4.06308,0.4841919
Left,1,-0.05099487,-3.29528,-0.8983765,-0.03168416,-4.464539,0.473114
Left,1,-0.02728271,-3.873161,-0.5593567,0.02942502,-4.928284,0.5728149
Left,1,0.04333496,-4.399393,-0.2469482,0.04982221,-5.329742,0.6273499
Left,1,0.1140137,-4.951612,0.001373291,-0.04425812,-5.69342,0.4248047
Left,1,0.1378174,-5.520874,0.2122803,0.1575139,-6.184662,0.6362915
Left,1,0.1054077,-6.089355,0.4295044,-0.2914215,-6.447632,0.1260376
Left,1,0.07293701,-6.705109,0.5827026,-0.3274573,-6.864777,0.05905151
Left,1,0.02148438,-7.32666,0.6312561,-0.1884017,-7.30304,0.1568604
Left,1,0.02770996,-7.986389,0.6234436,-0.1588763,-7.733643,0.1036682
Left,1,0.04959106,-8.646729,0.6280823,-0.1432729,-8.224579,0.1160889
Left,1,0.135376,-9.395081,0.568512,-0.05440974,-8.678467,0.08450317
Left,1,0.2415466,-10.17578,0.5635986,0.2249629,-9.203583,0.1660461
Left,1,0.2944336,-10.97263,0.4650574,0.1565391,-9.901062,0.2521973
Left,1,0.3536987,-11.84171,0.4227295,-1.132027,-10.76355,-3.281342
Left,1,0.4537659,-12.72531,0.4896851,-1.328733,-11.55664,-3.656586
Left,1,0.4959106,-13.55566,0.4849243,-1.252193,-12.08792,-3.736237
Left,1,0.5146179,-14.47507,0.4614563,-1.006368,-12.54037,-3.693115
Left,1,0.5211182,-15.44931,0.5817261,-0.9393348,-13.05383,-3.729095
Left,1,0.518219,-16.34265,0.6817017,-0.8798724,-13.60278,-3.835236
Left,1,0.4214478,-17.29257,0.7069397,-0.8932499,-14.37061,-4.025299
Left,1,0.365509,-18.20667,0.8414001,-0.8682483,-14.57095,-4.056519
Left,1,0.2533875,-19.19073,0.9822693,-0.7671814,-15.04074,-4.039642
Left,1,0.1617432,-20.18692,1.177826,-0.6799131,-15.50583,-4.085083
Left,1,0.1232605,-21.08417,1.402924,-0.5851086,-15.9057,-4.060455
Left,1,0.1394348,-22.07037,1.607574,-0.5848977,-16.32211,-4.124329
Left,1,0.1056519,-23.01636,1.810822,-0.5691694,-16.73062,-4.175781
Left,1,0.1391296,-23.9924,2.041962,-0.5844549,-17.07489,-4.252045
Left,1,0.2520752,-24.91589,2.221313,-0.5827188,-17.39215,-4.30191
Left,1,0.3616333,-25.7869,2.308441,-0.5642258,-17.6662,-4.261475
Left,1,0.5340271,-26.71927,2.50946,-0.6662635,-17.91748,-4.420044
Left,1,0.6905823,-27.76987,2.633972,-0.7479774,-18.0596,-4.588043
Left,1,0.8676147,-28.86057,2.813049,-0.7694417,-18.20328,-4.656494
Left,1,0.9960632,-29.89066,2.940735,-0.7429337,-18.2847,-4.673706
Left,1,1.094971,-30.961,3.121582,-0.6824582,-18.38266,-4.638062
Left,1,1.149933,-32.16101,3.229187,-0.6174704,-18.41357,-4.560364
