Posture,Direction,Mean,Std
Standing,Right,126.93194060416666,47.19672499782854
Standing,UpRight,116.20862041666668,47.04304620797465
Standing,Up,84.316593125,22.50688702385534
Standing,UpLeft,122.61792058333333,48.91410356026248
Standing,Left,132.09105270833334,45.63464338176839
Standing,DownLeft,120.81054583333334,54.64315603517082
Standing,Down,88.305510625,35.919638922650975
Standing,DownRight,116.33302937500001,48.11210140006333
Lying,Right,69.42139072916667,46.39723401432903
Lying,UpRight,48.120031041666664,21.244067836878177
Lying,Up,40.064265,17.04117317195983
Lying,UpLeft,44.9793708125,18.890145309368265
Lying,Left,60.124625333333334,22.227869735313174
Lying,DownLeft,60.023864374999995,25.345425764908274
Lying,Down,54.874085625,43.10513518830634
Lying,DownRight,60.94002733333334,31.21792221021857
