Participant,Posture,0,45,90,135,180,225,270,315
1,Lying,12.312451849718101,9.292036306946793,7.987698385105496,6.6454574616593085,5.965068269458767,11.680309623376726,7.966446210993906,11.15352025022315
1,Standing,26.561578467815227,23.706203421876683,23.00760780295157,10.604411817965245,17.277586825468266,10.839338717677581,21.457122587444537,10.672823091723728
2,Lying,11.004665917818564,22.45503440802914,4.064670066837549,10.736454600004548,14.389421985944267,20.53829189973322,33.05766006275402,10.507845063005336
2,Standing,2.1999245729275754,4.6134251364549135,6.526647317837876,5.949437171905893,3.0070630844290593,3.2420778215930657,4.395980438824413,4.07678720116793
3,Lying,6.425124680207961,4.801097800599418,7.20002300674816,5.461108828892618,6.226901489651854,6.1087596164130895,5.11309731195523,5.679353099627649
3,Standing,3.8163990698893966,2.9630918074376917,4.064748095336208,3.667894212024599,5.659287857144458,2.9707743151991766,3.0490301092950456,2.4432633686718974
4,Lying,3.17739019576167,2.865348832430737,2.787381000658258,3.0950177318222414,2.840251277173235,12.210522072029239,4.168692154334017,4.702333408476843
4,Standing,3.2648924852504266,1.9358356415962266,2.1255178313798972,2.3122217044252347,2.7377084701668077,2.621234149808083,3.0880397106956754,3.181274662454608
5,Lying,15.18361344464888,10.13749773528859,22.873263228135446,36.815942725645634,10.543980736782771,9.547742518174426,58.601537970604674,17.987035115953184
5,Standing,2.6598000173991996,2.429682636803065,2.649891266307868,2.935177002712828,1.986297467754371,2.0697453353819606,2.2293173449854935,2.327551852910808
6,Lying,31.55887611829758,32.489991365055275,13.34209501875268,34.41701948887387,28.42354075034634,35.889986592745586,31.17908355061726,35.68939834080067
6,Standing,5.864801267013993,7.580106316728651,13.8222377460265,12.234014210898174,5.197997447492877,12.959422650416762,18.099054357704347,17.15709142993348
7,Lying,12.528737582373454,6.593533418793336,7.87086109114842,6.251952701983803,7.5873994406441065,11.272558448690134,6.084807546010068,8.311832539765083
7,Standing,4.099829623669188,10.295983405440825,18.620711636839214,16.5984965828163,6.690665713013077,6.854119004542624,4.185123488376936,4.968687621795682
8,Lying,16.091070435319644,10.342266499186437,17.72119683350255,8.407368928586315,29.263122049033456,28.853637693299536,9.708956773403779,10.311106245651398
8,Standing,17.14013085330084,17.44326054137708,17.7846583430674,15.54877264677724,16.45755244701835,13.433402807563262,19.25590871619624,10.536055198077577
9,Lying,12.107156789831006,36.2620568140906,10.06163836434989,15.03255110294426,13.96215276498737,12.823630634728731,10.815373243477142,12.641263716809624
9,Standing,7.5912191781635565,5.452275654714808,9.96342434646267,32.936345953668095,9.901391963924771,5.990285606360186,4.240321705857398,9.407422258507914
10,Lying,10.680835182785264,18.4382623045308,18.267610413298417,15.567296607592723,35.44714631238332,47.31243775425419,30.487034367956788,55.085793967756445
10,Standing,18.09574011546993,10.62817009681808,8.902205787394008,18.91112295847724,11.732628995438787,11.181943264080473,13.57719403944761,15.33433162994022
11,Lying,18.78912658208024,8.833700862448241,5.420217753363321,10.811557015814273,8.747834627376589,14.690136663997384,22.201685103660925,11.83666927102846
11,Standing,11.023216213058282,9.586976699089979,13.447598252881228,16.687938501992246,9.255321291056097,10.77459712272485,5.990507588674023,9.631185932404971
12,Lying,12.466205122043942,16.290850214531652,13.686302153465949,10.436017197359439,5.254742042696258,16.092019818493768,11.801231802999508,7.869026654776635
12,Standing,4.456566630819737,2.858220973221109,4.33504100189821,2.8158782160630174,3.3240474405354195,3.8141067876583925,3.229009936527501,2.909718833687438
13,Lying,22.57933233585926,18.898205929883034,16.112280149191506,11.141881256245629,16.110354949671198,12.96079822314843,8.737613513839863,13.951765874476726
13,Standing,4.840353308562061,4.634887608854157,3.4660700699360163,4.254756679479363,4.791754640744993,5.782402034248448,4.100032254356752,3.227042716243973
