Participant,Posture,Direction,Range
9,Standing,Left,214.6156
9,Standing,DownRight,195.3973
9,Standing,DownRight,223.3656
9,Standing,DownRight,216.4319
9,Standing,UpLeft,191.7586
9,Standing,UpLeft,192.5985
9,Standing,UpLeft,199.0611
10,Standing,UpLeft,97.2907
10,Standing,UpLeft,94.22472
10,Standing,UpLeft,92.68558
10,Standing,Down,54.61385
10,Standing,Down,53.7582
10,Standing,Down,52.61603
10,Standing,UpRight,68.1906
10,Standing,UpRight,68.4325
10,Standing,UpRight,70.57316
10,Standing,Right,84.09245
10,Standing,Right,92.2449
10,Standing,Right,88.76698
10,Standing,Up,71.74659
10,Standing,Up,69.81581
10,Standing,Up,74.01027
10,Standing,DownLeft,75.47971
10,Standing,DownLeft,74.40395
10,Standing,DownLeft,62.87851
10,Standing,Left,89.42992
10,Standing,Left,91.2001
10,Standing,Left,95.19027
10,Standing,DownRight,76.54312
10,Standing,DownRight,77.67535
10,Standing,DownRight,80.35736
11,Standing,Left,155.9614
11,Standing,Left,150.1035
11,Standing,Left,152.1291
11,Standing,DownRight,156.8588
11,Standing,DownRight,158.929
11,Standing,DownRight,157.6664
11,Standing,UpLeft,140.1629
11,Standing,UpLeft,166.0393
11,Standing,UpLeft,153.0695
11,Standing,Down,71.67721
11,Standing,Down,64.14256
11,Standing,Down,65.42567
11,Standing,UpRight,126.1091
11,Standing,UpRight,129.8453
11,Standing,UpRight,128.1559
11,Standing,Right,160.9948
11,Standing,Right,159.8697
11,Standing,Right,164.0856
11,Standing,Up,70.70811
11,Standing,Up,73.19677
11,Standing,Up,75.02106
11,Standing,DownLeft,140.8046
11,Standing,DownLeft,149.6327
11,Standing,DownLeft,155.8846
12,Standing,Left,171.4504
12,Standing,Left,174.8257
12,Standing,Left,171.8081
12,Standing,DownRight,164.0547
12,Standing,DownRight,170.6381
12,Standing,DownRight,190.4859
12,Standing,UpLeft,157.3007
12,Standing,UpLeft,159.9118
12,Standing,UpLeft,187.5188
12,Standing,Down,157.7902
12,Standing,Down,144.843
12,Standing,Down,140.9881
12,Standing,UpRight,163.309
12,Standing,UpRight,169.3905
12,Standing,UpRight,165.6583
12,Standing,Right,188.0103
12,Standing,Right,177.1631
12,Standing,Right,164.1969
12,Standing,Up,87.67554
12,Standing,Up,88.39491
12,Standing,Up,85.23289
12,Standing,DownLeft,187.6872
12,Standing,DownLeft,193.4096
12,Standing,DownLeft,194.6322
13,Standing,Down,76.43824
13,Standing,Down,63.38115
13,Standing,Down,70.07291
13,Standing,UpRight,56.27582
13,Standing,UpRight,57.49437
13,Standing,UpRight,58.91666
13,Standing,Right,55.15691
13,Standing,Right,62.60381
13,Standing,Right,71.6963
13,Standing,Up,51.63624
13,Standing,Up,60.38998
13,Standing,Up,60.42164
13,Standing,DownLeft,61.43169
13,Standing,DownLeft,68.28269
13,Standing,DownLeft,75.44035
13,Standing,Left,75.11786
13,Standing,Left,85.06834
13,Standing,Left,85.40019
13,Standing,DownRight,59.99816
13,Standing,DownRight,74.37425
13,Standing,DownRight,73.65741
13,Standing,UpLeft,66.08438
13,Standing,UpLeft,67.66277
13,Standing,UpLeft,71.21167
14,Standing,UpRight,65.33663
14,Standing,UpRight,71.08147
14,Standing,UpRight,81.48317
14,Standing,Right,80.93515
14,Standing,Right,81.7383
14,Standing,Right,83.05446
14,Standing,Up,65.99608
14,Standing,Up,59.75985
14,Standing,Up,59.80096
14,Standing,DownLeft,66.39245
14,Standing,DownLeft,65.00576
14,Standing,DownLeft,67.28637
14,Standing,Left,72.89329
14,Standing,Left,70.84879
14,Standing,Left,71.70807
14,Standing,DownRight,61.89493
14,Standing,DownRight,66.30146
14,Standing,DownRight,66.77651
14,Standing,UpLeft,76.11796
14,Standing,UpLeft,71.90623
14,Standing,UpLeft,73.23871
14,Standing,Down,56.45487
14,Standing,Down,47.60753
14,Standing,Down,53.0221
15,Standing,Up,87.36419
15,Standing,Up,86.57578
15,Standing,Up,85.26234
15,Standing,DownLeft,203.5191
15,Standing,DownLeft,191.0977
15,Standing,DownLeft,193.1351
15,Standing,Left,169.4285
15,Standing,Left,170.0974
15,Standing,Left,176.7162
15,Standing,DownRight,165.3849
15,Standing,DownRight,164.5639
15,Standing,DownRight,161.4989
15,Standing,UpLeft,6.505568
15,Standing,UpLeft,162.9349
15,Standing,UpLeft,193.7632
15,Standing,Down,113.7828
15,Standing,Down,115.2515
15,Standing,Down,116.4476
15,Standing,UpRight,162.1583
15,Standing,UpRight,162.2201
15,Standing,UpRight,201.2271
15,Standing,Right,177.9367
15,Standing,Right,168.8546
15,Standing,Right,197.2276
16,Standing,DownRight,79.8279
16,Standing,DownRight,77.86752
16,Standing,DownRight,81.43197
16,Standing,UpLeft,69.21581
16,Standing,UpLeft,77.14108
16,Standing,UpLeft,78.16869
16,Standing,Down,62.55819
16,Standing,Down,67.63975
16,Standing,Down,69.08993
16,Standing,UpRight,68.30766
16,Standing,UpRight,72.49008
