Direction,tCount,MaxViewingRange,StartVector,EndVector
Right,1,143.5988,(0.00* -0.03* 1.00),(0.59* 0.02* -0.80)
Right,2,149.3034,(0.00* -0.02* 1.00),(0.51* 0.05* -0.86)
Right,3,149.8307,(0.00* -0.02* 1.00),(0.50* 0.03* -0.86)
Up,1,92.87988,(-0.03* -0.03* 1.00),(0.01* 1.00* -0.02)
Up,2,-95.7194,(0.01* -0.02* 1.00),(0.00* 1.00* -0.08)
Up,3,90.56134,(0.02* 0.00* 1.00),(0.01* 1.00* -0.01)
DownLeft,1,-139.6232,(0.01* -0.03* 1.00),(-0.49* -0.41* -0.77)
DownLeft,2,-136.7948,(-0.01* -0.03* 1.00),(-0.51* -0.43* -0.75)
DownLeft,3,-131.7003,(-0.02* -0.03* 1.00),(-0.53* -0.49* -0.69)
Left,1,-153.2513,(0.01* -0.03* 1.00),(-0.46* 0.04* -0.89)
Left,2,-161.0686,(0.00* -0.01* 1.00),(-0.32* 0.05* -0.94)
Left,3,-148.9116,(-0.02* -0.02* 1.00),(-0.50* 0.06* -0.87)
DownRight,1,124.7675,(0.00* -0.07* 1.00),(0.57* -0.55* -0.61)
DownRight,2,115.9785,(0.02* -0.03* 1.00),(0.63* -0.62* -0.47)
DownRight,3,121.3851,(0.01* -0.04* 1.00),(0.61* -0.57* -0.55)
UpLeft,1,-156.8702,(0.02* -0.08* 1.00),(-0.33* 0.31* -0.89)
UpLeft,2,-155.5979,(0.00* -0.03* 1.00),(-0.30* 0.31* -0.90)
UpLeft,3,-159.5798,(0.00* -0.02* 1.00),(-0.26* 0.25* -0.93)
Down,1,-89.42151,(-0.01* -0.02* 1.00),(-0.01* -1.00* -0.01)
Down,2,-90.55536,(-0.03* -0.01* 1.00),(-0.01* -1.00* -0.02)
Down,3,94.61825,(0.00* -0.05* 1.00),(0.01* -0.99* -0.13)
UpRight,1,136.1742,(0.01* -0.07* 1.00),(0.49* 0.53* -0.69)
UpRight,2,143.0406,(0.03* -0.03* 1.00),(0.42* 0.43* -0.80)
UpRight,3,134.9584,(0.00* -0.02* 1.00),(0.50* 0.52* -0.70)
