Direction,tCount,MaxViewingRange,StartVector,EndVector
Down,1,76.43824,(0.57* 0.00* -0.82),(0.08* -0.97* -0.23)
Down,2,63.38115,(0.56* -0.05* -0.83),(0.17* -0.91* -0.37)
Down,3,70.07291,(0.56* -0.03* -0.83),(0.13* -0.95* -0.29)
UpRight,1,56.27582,(0.57* -0.01* -0.82),(-0.15* 0.60* -0.79)
UpRight,2,57.49437,(0.56* 0.00* -0.83),(-0.17* 0.62* -0.76)
UpRight,3,58.91666,(0.56* 0.01* -0.83),(-0.20* 0.63* -0.75)
Right,1,55.15691,(0.56* 0.02* -0.83),(-0.36* 0.05* -0.93)
Right,2,62.60381,(0.55* 0.01* -0.84),(-0.49* 0.04* -0.87)
Right,3,71.6963,(0.56* 0.00* -0.83),(-0.61* 0.04* -0.79)
Up,1,-51.63624,(0.56* 0.01* -0.83),(0.37* 0.79* -0.49)
Up,2,60.38998,(0.57* 0.01* -0.82),(0.30* 0.87* -0.38)
Up,3,-60.42164,(0.56* 0.01* -0.83),(0.30* 0.87* -0.38)
DownLeft,1,-61.43169,(0.57* 0.01* -0.82),(0.75* -0.66* -0.07)
DownLeft,2,-68.28269,(0.58* 0.02* -0.82),(0.72* -0.69* 0.04)
DownLeft,3,-75.44035,(0.57* 0.01* -0.82),(0.67* -0.73* 0.15)
Left,1,-75.11786,(0.57* 0.01* -0.82),(0.94* -0.04* 0.34)
Left,2,-85.06834,(0.58* 0.00* -0.81),(0.86* -0.04* 0.51)
Left,3,-85.40019,(0.58* 0.00* -0.82),(0.86* -0.04* 0.51)
DownRight,1,59.99816,(0.57* 0.01* -0.82),(-0.24* -0.57* -0.78)
DownRight,2,74.37425,(0.56* 0.00* -0.83),(-0.45* -0.64* -0.63)
DownRight,3,73.65741,(0.55* 0.01* -0.84),(-0.45* -0.63* -0.64)
UpLeft,1,-66.08438,(0.58* 0.00* -0.82),(0.77* 0.63* 0.05)
UpLeft,2,-67.66277,(0.58* 0.00* -0.82),(0.77* 0.63* 0.08)
UpLeft,3,-71.21167,(0.58* 0.00* -0.81),(0.75* 0.65* 0.14)
