Direction,tCount,MaxViewingRange,StartVector,EndVector
DownRight,1,75.10657,(0.02* 1.00* -0.03),(0.23* 0.28* 0.93)
DownRight,2,82.33235,(0.01* 1.00* -0.03),(0.23* 0.16* 0.96)
DownRight,3,80.42722,(0.02* 1.00* -0.03),(0.25* 0.19* 0.95)
UpLeft,1,-31.46714,(0.01* 1.00* -0.04),(-0.11* 0.83* -0.54)
UpLeft,2,-29.13776,(-0.01* 1.00* -0.06),(-0.09* 0.84* -0.53)
UpLeft,3,-35.98189,(0.01* 1.00* -0.05),(-0.13* 0.78* -0.61)
Down,1,-47.38554,(0.01* 1.00* -0.01),(-0.40* 0.69* 0.61)
Down,2,-46.90485,(0.01* 1.00* -0.02),(-0.39* 0.70* 0.60)
Down,3,-49.8818,(0.02* 1.00* -0.04),(-0.40* 0.68* 0.62)
UpRight,1,23.2698,(0.03* 1.00* -0.04),(0.41* 0.90* -0.13)
UpRight,2,26.34103,(0.05* 1.00* -0.02),(0.47* 0.87* -0.14)
UpRight,3,29.21688,(0.04* 1.00* -0.04),(0.51* 0.85* -0.15)
Right,1,53.7923,(0.02* 1.00* -0.04),(0.70* 0.59* 0.39)
Right,2,50.70646,(0.02* 1.00* -0.03),(0.68* 0.63* 0.37)
Right,3,49.03409,(0.02* 1.00* -0.02),(0.67* 0.65* 0.36)
Up,1,-23.64235,(0.01* 1.00* -0.01),(0.22* 0.91* -0.35)
Up,2,-20.92974,(0.02* 1.00* -0.04),(0.21* 0.92* -0.34)
Up,3,16.04258,(0.02* 1.00* -0.03),(0.17* 0.95* -0.26)
DownLeft,1,-47.1601,(0.02* 1.00* -0.03),(-0.71* 0.70* 0.11)
DownLeft,2,-62.56964,(0.03* 1.00* -0.03),(-0.86* 0.49* 0.13)
DownLeft,3,-69.71609,(0.02* 1.00* -0.03),(-0.92* 0.37* 0.14)
Left,1,-31.19763,(0.01* 1.00* -0.03),(-0.43* 0.85* -0.30)
Left,2,-29.44127,(0.00* 1.00* -0.04),(-0.42* 0.86* -0.29)
Left,3,-29.80374,(0.01* 1.00* -0.03),(-0.41* 0.86* -0.29)
