Direction,tCount,MaxViewingRange,StartVector,EndVector
Up,1,-87.36419,(-0.98* -0.16* 0.11),(-0.18* 0.96* 0.21)
Up,2,-86.57578,(-0.99* -0.12* 0.09),(-0.16* 0.97* 0.20)
Up,3,85.26234,(-0.99* -0.12* 0.09),(-0.18* 0.96* 0.22)
DownLeft,1,156.4809,(-0.98* -0.16* 0.10),(0.93* 0.22* 0.30)
DownLeft,2,168.9023,(-0.98* -0.19* 0.03),(0.98* 0.12* 0.15)
DownLeft,3,166.8649,(-0.98* -0.17* 0.07),(0.99* 0.06* 0.13)
Left,1,-169.4285,(-0.97* -0.20* 0.10),(0.94* 0.18* -0.28)
Left,2,-170.0974,(-0.99* -0.15* 0.06),(0.96* 0.16* -0.23)
Left,3,-176.7162,(-0.99* -0.15* 0.05),(0.98* 0.19* -0.09)
DownRight,1,165.3849,(-0.98* -0.15* 0.08),(0.96* 0.23* 0.16)
DownRight,2,164.5639,(-0.98* -0.19* 0.10),(0.95* 0.25* 0.16)
DownRight,3,161.4989,(-0.97* -0.19* 0.13),(0.96* 0.22* 0.19)
UpLeft,1,-6.505568,(-0.98* -0.18* 0.11),(-0.99* -0.10* 0.03)
UpLeft,2,-162.9349,(-0.99* -0.14* 0.06),(0.91* 0.42* 0.00)
UpLeft,3,166.2368,(-0.99* -0.14* 0.04),(0.96* 0.20* 0.19)
Down,1,113.7828,(-0.98* -0.18* 0.11),(0.27* 0.92* 0.26)
Down,2,115.2515,(-0.97* -0.21* 0.08),(0.26* 0.93* 0.27)
Down,3,116.4476,(-0.98* -0.20* 0.09),(0.29* 0.92* 0.25)
UpRight,1,162.1583,(-0.98* -0.19* 0.08),(0.99* -0.12* -0.07)
UpRight,2,162.2201,(-0.99* -0.13* 0.11),(0.98* -0.18* -0.11)
UpRight,3,-158.7729,(-0.99* -0.12* 0.05),(0.96* -0.23* -0.16)
Right,1,177.9367,(-0.98* -0.17* 0.11),(0.98* 0.19* -0.08)
Right,2,168.8546,(-0.98* -0.15* 0.12),(0.98* 0.19* 0.07)
Right,3,-162.7724,(-0.98* -0.16* 0.09),(0.91* 0.19* -0.38)
