Direction,tCount,MaxViewingRange,StartVector,EndVector
UpLeft,1,-24.47015,(-0.06* 1.00* 0.01),(-0.36* 0.89* 0.29)
UpLeft,2,-23.07537,(-0.07* 1.00* 0.01),(-0.35* 0.90* 0.28)
UpLeft,3,-17.92862,(-0.14* 0.99* 0.05),(-0.33* 0.90* 0.28)
Down,1,-29.48112,(-0.06* 1.00* 0.02),(0.44* 0.90* 0.02)
Down,2,-36.29864,(-0.04* 1.00* 0.02),(0.56* 0.83* 0.04)
Down,3,-42.23732,(-0.08* 1.00* 0.03),(0.61* 0.79* 0.02)
UpRight,1,21.73279,(-0.04* 1.00* 0.01),(-0.32* 0.92* -0.23)
UpRight,2,15.76686,(-0.09* 1.00* -0.02),(-0.28* 0.94* -0.21)
UpRight,3,19.07572,(-0.08* 1.00* 0.01),(-0.31* 0.93* -0.22)
Right,1,21.78572,(-0.11* 0.99* -0.02),(-0.08* 0.92* -0.39)
Right,2,24.14973,(-0.11* 0.99* -0.01),(-0.08* 0.91* -0.42)
Right,3,25.45453,(-0.08* 1.00* 0.00),(-0.08* 0.90* -0.43)
Up,1,-17.66006,(-0.08* 1.00* -0.01),(-0.38* 0.93* 0.00)
Up,2,19.1102,(-0.09* 1.00* 0.01),(-0.41* 0.91* 0.01)
Up,3,21.53218,(-0.07* 1.00* 0.01),(-0.43* 0.90* 0.01)
DownLeft,1,-36.04486,(-0.08* 1.00* 0.01),(0.31* 0.83* 0.46)
DownLeft,2,-29.65594,(-0.03* 1.00* 0.05),(0.26* 0.86* 0.45)
DownLeft,3,-28.78976,(-0.06* 1.00* 0.03),(0.25* 0.88* 0.40)
Left,1,-32.89094,(-0.06* 1.00* 0.01),(-0.07* 0.83* 0.55)
Left,2,-27.79881,(-0.05* 1.00* 0.05),(-0.08* 0.86* 0.51)
Left,3,-28.34031,(-0.05* 1.00* 0.04),(-0.06* 0.86* 0.51)
DownRight,1,49.6864,(-0.07* 1.00* 0.03),(0.43* 0.70* -0.58)
DownRight,2,50.18841,(-0.01* 1.00* 0.01),(0.45* 0.65* -0.61)
DownRight,3,53.36959,(-0.02* 1.00* -0.01),(0.48* 0.60* -0.64)
