Direction,tCount,MaxViewingRange,StartVector,EndVector
DownRight,1,102.1416,(-0.85* 0.06* -0.53),(-0.23* -0.69* 0.69)
DownRight,2,114.4258,(-0.84* 0.04* -0.54),(-0.03* -0.64* 0.76)
DownRight,3,103.3725,(-0.84* 0.04* -0.53),(-0.20* -0.69* 0.70)
UpLeft,1,-95.03702,(-0.86* 0.03* -0.51),(0.43* 0.74* -0.51)
UpLeft,2,-99.47839,(-0.82* 0.08* -0.57),(0.55* 0.73* -0.40)
UpLeft,3,-103.1729,(-0.80* 0.07* -0.60),(0.61* 0.71* -0.35)
Down,1,74.57059,(-0.83* 0.06* -0.56),(-0.27* -0.95* -0.18)
Down,2,70.57416,(-0.82* 0.09* -0.57),(-0.34* -0.91* -0.24)
Down,3,68.42793,(-0.83* 0.06* -0.56),(-0.35* -0.91* -0.24)
UpRight,1,94.44766,(-0.82* 0.05* -0.57),(-0.33* 0.67* 0.67)
UpRight,2,96.54553,(-0.85* 0.05* -0.53),(-0.27* 0.65* 0.71)
UpRight,3,103.2604,(-0.84* 0.05* -0.53),(-0.17* 0.63* 0.76)
Right,1,86.69373,(-0.83* 0.05* -0.55),(-0.60* -0.01* 0.80)
Right,2,103.3635,(-0.84* 0.04* -0.55),(-0.34* -0.02* 0.94)
Right,3,109.1528,(-0.82* 0.05* -0.57),(-0.27* -0.03* 0.96)
Up,1,66.1513,(-0.84* 0.06* -0.54),(-0.32* 0.94* -0.15)
Up,2,-54.49812,(-0.83* 0.06* -0.55),(-0.46* 0.85* -0.27)
Up,3,65.92422,(-0.83* 0.08* -0.55),(-0.30* 0.94* -0.15)
DownLeft,1,-89.82767,(-0.82* 0.07* -0.56),(0.36* -0.70* -0.62)
DownLeft,2,-103.5354,(-0.83* 0.06* -0.56),(0.55* -0.69* -0.47)
DownLeft,3,-104.1789,(-0.82* 0.06* -0.57),(0.57* -0.69* -0.46)
Left,1,-109.4601,(-0.83* 0.07* -0.55),(0.80* 0.02* -0.60)
Left,2,-105.2834,(-0.83* 0.07* -0.56),(0.76* 0.03* -0.65)
Left,3,-109.937,(-0.82* 0.05* -0.56),(0.81* 0.03* -0.58)
