Direction,tCount,MaxViewingRange,StartVector,EndVector
DownLeft,1,-80.85746,(-0.16* -0.04* 0.99),(-0.78* -0.63* 0.01)
DownLeft,2,-72.02796,(-0.24* -0.04* 0.97),(-0.78* -0.62* 0.10)
DownLeft,3,-75.1248,(-0.21* -0.04* 0.98),(-0.78* -0.62* 0.07)
Left,1,-80.28755,(-0.20* -0.05* 0.98),(-1.00* 0.03* -0.03)
Left,2,-78.97924,(-0.23* -0.02* 0.97),(-1.00* 0.02* -0.04)
Left,3,-81.91097,(-0.24* -0.02* 0.97),(-0.99* 0.03* -0.10)
DownRight,1,59.39761,(-0.21* -0.04* 0.98),(0.45* -0.67* 0.59)
DownRight,2,56.02356,(-0.20* -0.04* 0.98),(0.43* -0.64* 0.63)
DownRight,3,51.98625,(-0.19* -0.02* 0.98),(0.38* -0.62* 0.69)
UpLeft,1,-70.01582,(-0.19* -0.02* 0.98),(-0.72* 0.65* 0.22)
UpLeft,2,-70.90609,(-0.23* 0.00* 0.97),(-0.74* 0.65* 0.16)
UpLeft,3,-70.09445,(-0.21* -0.01* 0.98),(-0.73* 0.66* 0.20)
Down,1,-53.04361,(-0.22* -0.02* 0.98),(-0.18* -0.81* 0.56)
Down,2,-55.76614,(-0.19* -0.04* 0.98),(-0.19* -0.84* 0.50)
Down,3,-54.90615,(-0.21* -0.01* 0.98),(-0.18* -0.82* 0.54)
UpRight,1,49.07465,(-0.22* -0.04* 0.97),(0.38* 0.50* 0.78)
UpRight,2,48.23007,(-0.19* 0.00* 0.98),(0.41* 0.51* 0.76)
UpRight,3,42.91292,(-0.18* -0.01* 0.98),(0.35* 0.46* 0.81)
Right,1,50.53383,(-0.16* -0.02* 0.99),(0.66* -0.06* 0.75)
Right,2,71.70167,(-0.17* -0.02* 0.98),(0.88* -0.05* 0.47)
Right,3,70.98521,(-0.18* -0.02* 0.98),(0.87* -0.06* 0.49)
Up,1,-64.07494,(-0.15* -0.04* 0.99),(-0.12* 0.88* 0.46)
Up,2,52.72467,(-0.20* -0.01* 0.98),(-0.13* 0.79* 0.60)
Up,3,62.01188,(-0.22* -0.02* 0.98),(-0.12* 0.87* 0.47)
