Direction,tCount,MaxViewingRange,StartVector,EndVector
Up,1,32.84927,(0.01* 0.97* 0.25),(-0.14* 0.68* 0.71)
Up,2,-40.15926,(-0.05* 0.97* 0.23),(-0.16* 0.59* 0.79)
Up,3,-38.66674,(-0.02* 0.98* 0.19),(-0.15* 0.65* 0.75)
DownLeft,1,-1.24694,(-0.04* 0.97* 0.25),(-0.03* 0.97* 0.23)
DownLeft,2,-47.1864,(-0.01* 0.98* 0.19),(0.64* 0.74* -0.21)
DownLeft,3,-51.9215,(-0.03* 0.97* 0.24),(0.68* 0.70* -0.19)
Left,1,-2.139546,(-0.02* 0.97* 0.23),(0.00* 0.98* 0.20)
Left,2,-53.70313,(-0.01* 0.97* 0.24),(0.78* 0.54* 0.31)
Left,3,-59.32196,(0.00* 0.97* 0.24),(0.84* 0.45* 0.31)
DownRight,1,58.96113,(-0.01* 0.97* 0.25),(-0.46* 0.68* -0.58)
DownRight,2,55.20745,(-0.04* 0.98* 0.21),(-0.43* 0.69* -0.58)
DownRight,3,67.2417,(-0.03* 0.98* 0.20),(-0.46* 0.53* -0.72)
UpLeft,1,-42.63436,(-0.02* 0.98* 0.22),(0.35* 0.60* 0.72)
UpLeft,2,-45.51987,(0.00* 0.98* 0.21),(0.38* 0.56* 0.74)
UpLeft,3,-43.69989,(-0.02* 0.97* 0.23),(0.37* 0.58* 0.73)
Down,1,-48.9005,(-0.03* 0.98* 0.21),(0.22* 0.80* -0.56)
Down,2,-23.67387,(-0.03* 0.98* 0.21),(0.10* 0.98* -0.18)
Down,3,-47.0354,(-0.03* 0.97* 0.23),(0.20* 0.83* -0.52)
UpRight,1,45.16427,(-0.03* 0.97* 0.22),(-0.63* 0.59* 0.51)
UpRight,2,45.8178,(-0.04* 0.97* 0.22),(-0.63* 0.57* 0.53)
UpRight,3,44.55902,(-0.07* 0.97* 0.24),(-0.64* 0.56* 0.53)
Right,1,63.9936,(-0.04* 0.98* 0.21),(-0.87* 0.45* -0.18)
Right,2,67.4789,(-0.04* 0.97* 0.23),(-0.90* 0.40* -0.18)
Right,3,68.0345,(-0.04* 0.98* 0.18),(-0.91* 0.38* -0.19)
