Direction,tCount,MaxViewingRange,StartVector,EndVector
UpLeft,1,-50.00988,(-0.03* 0.96* -0.29),(0.68* 0.72* 0.10)
UpLeft,2,-45.08726,(-0.02* 0.96* -0.29),(0.63* 0.77* 0.07)
UpLeft,3,-50.52525,(-0.03* 0.96* -0.28),(0.69* 0.71* 0.10)
Down,1,-153.9874,(-0.02* 0.96* -0.29),(0.00* -0.99* -0.16)
Down,2,-140.9807,(-0.04* 0.94* -0.33),(-0.05* -0.94* -0.33)
Down,3,-151.6238,(-0.02* 0.96* -0.28),(0.00* -0.98* -0.21)
UpRight,1,71.56284,(-0.03* 0.96* -0.28),(-0.46* 0.52* 0.71)
UpRight,2,87.91592,(-0.03* 0.96* -0.29),(-0.50* 0.27* 0.82)
UpRight,3,87.8265,(-0.04* 0.96* -0.29),(-0.49* 0.27* 0.83)
Right,1,88.17017,(-0.01* 0.95* -0.30),(-0.98* 0.08* 0.18)
Right,2,-1.810565,(-0.06* 0.96* -0.27),(-0.03* 0.96* -0.28)
Right,3,84.9245,(-0.03* 0.96* -0.28),(-0.97* 0.12* 0.20)
Up,1,72.28638,(-0.03* 0.96* -0.28),(0.31* 0.55* 0.77)
Up,2,-69.08872,(0.01* 0.97* -0.25),(0.32* 0.56* 0.76)
Up,3,71.38173,(0.00* 0.97* -0.26),(0.32* 0.54* 0.78)
DownLeft,1,-88.67611,(-0.04* 0.96* -0.26),(0.41* -0.20* -0.89)
DownLeft,2,-100.2228,(0.00* 0.97* -0.25),(0.37* -0.40* -0.84)
DownLeft,3,-101.4023,(-0.03* 0.96* -0.27),(0.40* -0.42* -0.81)
Left,1,-88.86717,(-0.02* 0.96* -0.28),(0.91* -0.08* -0.41)
Left,2,-84.0392,(0.00* 0.96* -0.27),(0.91* -0.01* -0.42)
Left,3,-86.25496,(-0.05* 0.95* -0.30),(0.90* -0.02* -0.43)
DownRight,1,78.50807,(0.00* 0.96* -0.28),(-0.84* 0.05* -0.54)
DownRight,2,1.236222,(-0.02* 0.96* -0.27),(-0.03* 0.96* -0.29)
DownRight,3,83.13708,(-0.02* 0.96* -0.26),(-0.84* -0.04* -0.54)
