Direction,tCount,MaxViewingRange,StartVector,EndVector
Up,1,53.6076,(-0.10* 0.99* 0.13),(0.06* 0.70* -0.71)
Up,2,-50.39023,(-0.08* 0.99* 0.09),(0.06* 0.71* -0.70)
Up,3,50.14996,(-0.08* 0.99* 0.07),(0.07* 0.70* -0.71)
DownLeft,1,-98.58211,(-0.08* 0.99* 0.10),(-0.80* -0.27* 0.54)
DownLeft,2,-90.69058,(-0.12* 0.98* 0.12),(-0.81* -0.18* 0.56)
DownLeft,3,-87.00744,(-0.13* 0.98* 0.13),(-0.81* -0.13* 0.57)
Left,1,-65.93626,(-0.10* 0.99* 0.14),(-0.94* 0.33* -0.08)
Left,2,-62.8135,(-0.15* 0.98* 0.10),(-0.94* 0.33* -0.09)
Left,3,-67.63958,(-0.11* 0.99* 0.11),(-0.95* 0.29* -0.10)
DownRight,1,99.88908,(-0.11* 0.99* 0.13),(0.49* -0.23* 0.84)
DownRight,2,92.88659,(-0.08* 0.99* 0.14),(0.51* -0.13* 0.85)
DownRight,3,89.48389,(-0.07* 0.99* 0.14),(0.48* -0.08* 0.87)
UpLeft,1,-71.08415,(-0.06* 0.99* 0.15),(-0.62* 0.39* -0.67)
UpLeft,2,-62.81491,(-0.11* 0.99* 0.07),(-0.61* 0.44* -0.66)
UpLeft,3,-67.21557,(-0.11* 0.99* 0.07),(-0.62* 0.37* -0.69)
Down,1,-80.15475,(-0.10* 0.99* 0.10),(-0.25* 0.05* 0.97)
Down,2,-79.6264,(-0.10* 0.98* 0.15),(-0.24* 0.01* 0.97)
Down,3,-82.18103,(-0.09* 0.99* 0.14),(-0.22* -0.02* 0.98)
UpRight,1,57.1384,(-0.08* 0.99* 0.15),(0.63* 0.66* -0.40)
UpRight,2,67.57731,(-0.05* 0.99* 0.08),(0.74* 0.46* -0.49)
UpRight,3,71.32809,(-0.05* 1.00* 0.08),(0.76* 0.40* -0.51)
Right,1,65.44509,(-0.07* 0.99* 0.12),(0.87* 0.46* 0.17)
Right,2,62.37548,(-0.03* 0.99* 0.13),(0.85* 0.46* 0.25)
Right,3,65.67355,(-0.05* 0.99* 0.12),(0.87* 0.43* 0.25)
