Direction,tCount,MaxViewingRange,StartVector,EndVector
Right,1,159.6543,(0.99* 0.10* -0.09),(-0.96* -0.07* -0.26)
Right,2,156.7756,(0.99* 0.11* -0.09),(-0.95* -0.08* -0.31)
Right,3,154.1894,(0.99* 0.11* -0.09),(-0.93* -0.07* -0.35)
Up,1,-103.3861,(0.99* 0.10* -0.10),(-0.33* 0.94* -0.02)
Up,2,120.1465,(0.99* 0.09* -0.09),(-0.58* 0.81* -0.02)
Up,3,132.1944,(0.99* 0.10* -0.10),(-0.75* 0.67* 0.00)
DownLeft,1,176.5103,(0.99* 0.11* -0.08),(-0.98* -0.17* 0.08)
DownLeft,2,173.0456,(0.99* 0.08* -0.07),(-1.00* -0.03* -0.04)
DownLeft,3,177.1127,(0.99* 0.09* -0.07),(-1.00* -0.09* 0.02)
Left,1,166.6974,(0.99* 0.10* -0.08),(-0.99* -0.07* -0.15)
Left,2,168.5112,(0.99* 0.10* -0.07),(-0.99* -0.09* -0.13)
Left,3,-176.3823,(0.99* 0.10* -0.07),(-0.99* -0.08* 0.13)
DownRight,1,144.3302,(0.99* 0.09* -0.07),(-0.81* -0.44* -0.40)
DownRight,2,149.2022,(0.99* 0.07* -0.10),(-0.87* -0.37* -0.32)
DownRight,3,164.1661,(0.99* 0.10* -0.09),(-0.96* -0.21* -0.16)
UpLeft,1,-164.2331,(0.99* 0.09* -0.08),(-0.96* 0.13* 0.24)
UpLeft,2,-163.7717,(0.99* 0.12* -0.08),(-0.97* 0.13* 0.21)
UpLeft,3,-174.8548,(0.99* 0.09* -0.07),(-0.99* -0.01* 0.11)
Down,1,144.6886,(0.99* 0.10* -0.08),(-0.76* -0.65* -0.03)
Down,2,148.6222,(0.99* 0.09* -0.08),(-0.81* -0.59* -0.02)
Down,3,142.4383,(0.99* 0.09* -0.09),(-0.74* -0.67* -0.03)
UpRight,1,158.3285,(0.99* 0.07* -0.09),(-0.97* 0.11* -0.24)
UpRight,2,169.1743,(0.99* 0.11* -0.08),(-1.00* -0.01* -0.08)
UpRight,3,155.7852,(0.99* 0.12* -0.08),(-0.96* 0.15* -0.24)
