Direction,tCount,MaxViewingRange,StartVector,EndVector
UpLeft,1,-97.2907,(-0.07* 0.00* 1.00),(-0.75* 0.64* -0.18)
UpLeft,2,-94.22472,(-0.08* 0.01* 1.00),(-0.75* 0.64* -0.14)
UpLeft,3,-92.68558,(-0.08* 0.02* 1.00),(-0.75* 0.65* -0.12)
Down,1,-54.61385,(-0.06* 0.04* 1.00),(-0.02* -0.79* 0.61)
Down,2,-53.7582,(-0.07* 0.01* 1.00),(-0.01* -0.80* 0.60)
Down,3,-52.61603,(-0.07* -0.01* 1.00),(-0.01* -0.80* 0.60)
UpRight,1,68.1906,(-0.06* 0.01* 1.00),(0.58* 0.71* 0.40)
UpRight,2,68.4325,(-0.06* 0.02* 1.00),(0.58* 0.72* 0.39)
UpRight,3,70.57316,(-0.04* 0.05* 1.00),(0.60* 0.73* 0.32)
Right,1,84.09245,(-0.05* 0.05* 1.00),(0.99* 0.06* 0.15)
Right,2,92.2449,(-0.04* 0.01* 1.00),(1.00* 0.07* 0.00)
Right,3,88.76698,(-0.06* 0.01* 1.00),(0.99* 0.09* 0.08)
Up,1,-71.74659,(-0.04* 0.02* 1.00),(-0.10* 0.95* 0.29)
Up,2,-69.81581,(-0.06* 0.02* 1.00),(-0.11* 0.94* 0.32)
Up,3,74.01027,(-0.06* 0.02* 1.00),(-0.10* 0.96* 0.25)
DownLeft,1,-75.47971,(-0.06* 0.06* 1.00),(-0.70* -0.67* 0.25)
DownLeft,2,-74.40395,(-0.07* 0.00* 1.00),(-0.71* -0.67* 0.22)
DownLeft,3,-62.87851,(-0.08* -0.01* 1.00),(-0.65* -0.65* 0.40)
Left,1,-89.42992,(-0.07* 0.00* 1.00),(-1.00* -0.04* -0.06)
Left,2,-91.2001,(-0.10* 0.00* 1.00),(-0.99* -0.03* -0.12)
Left,3,-95.19027,(-0.11* 0.00* 0.99),(-0.98* -0.04* -0.20)
DownRight,1,76.54312,(-0.08* 0.00* 1.00),(0.71* -0.64* 0.29)
DownRight,2,77.67535,(-0.04* -0.02* 1.00),(0.72* -0.66* 0.23)
DownRight,3,80.35736,(-0.07* -0.03* 1.00),(0.73* -0.66* 0.20)
