Direction,tCount,MaxViewingRange,StartVector,EndVector
Left,1,-171.4504,(0.89* 0.13* 0.44),(-0.94* -0.14* -0.30)
Left,2,-174.8257,(0.88* 0.15* 0.44),(-0.92* -0.14* -0.36)
Left,3,-171.8081,(0.89* 0.13* 0.43),(-0.95* -0.13* -0.30)
DownRight,1,164.0547,(0.89* 0.14* 0.43),(-0.73* -0.19* -0.65)
DownRight,2,170.6381,(0.88* 0.15* 0.45),(-0.84* -0.02* -0.54)
DownRight,3,-169.5141,(0.88* 0.10* 0.47),(-0.89* 0.08* -0.44)
UpLeft,1,-157.3007,(0.87* 0.17* 0.47),(-0.93* 0.19* -0.32)
UpLeft,2,-159.9118,(0.89* 0.14* 0.44),(-0.93* 0.19* -0.33)
UpLeft,3,172.4812,(0.89* 0.10* 0.45),(-0.87* 0.02* -0.50)
Down,1,157.7902,(0.87* 0.20* 0.45),(-0.68* -0.53* -0.51)
Down,2,144.843,(0.88* 0.10* 0.46),(-0.61* -0.64* -0.47)
Down,3,140.9881,(0.87* 0.14* 0.47),(-0.54* -0.72* -0.44)
UpRight,1,163.309,(0.88* 0.11* 0.46),(-0.72* -0.07* -0.70)
UpRight,2,169.3905,(0.88* 0.13* 0.45),(-0.81* -0.29* -0.51)
UpRight,3,165.6583,(0.89* 0.13* 0.44),(-0.82* -0.37* -0.44)
Right,1,-171.9897,(0.88* 0.13* 0.46),(-0.93* -0.14* -0.33)
Right,2,177.1631,(0.89* 0.13* 0.44),(-0.86* -0.13* -0.48)
Right,3,164.1969,(0.89* 0.13* 0.44),(-0.73* -0.17* -0.66)
Up,1,87.67554,(0.86* 0.14* 0.49),(-0.01* 0.98* -0.18)
Up,2,-88.39491,(0.88* 0.14* 0.46),(-0.03* 0.98* -0.18)
Up,3,-85.23289,(0.88* 0.15* 0.46),(0.01* 0.99* -0.16)
DownLeft,1,172.3128,(0.87* 0.12* 0.47),(-0.84* -0.25* -0.48)
DownLeft,2,166.5904,(0.89* 0.13* 0.43),(-0.77* -0.12* -0.63)
DownLeft,3,165.3678,(0.88* 0.14* 0.45),(-0.74* -0.11* -0.66)
