Direction,tCount,MaxViewingRange,StartVector,EndVector
DownRight,1,79.8279,(-0.99* 0.13* -0.07),(-0.31* -0.60* 0.74)
DownRight,2,77.86752,(-0.99* 0.12* -0.06),(-0.33* -0.62* 0.71)
DownRight,3,81.43197,(-0.99* 0.15* -0.06),(-0.29* -0.63* 0.72)
UpLeft,1,-69.21581,(-0.99* 0.09* -0.06),(-0.25* 0.76* -0.59)
UpLeft,2,-77.14108,(-0.99* 0.13* -0.10),(-0.06* 0.80* -0.59)
UpLeft,3,-78.16869,(-0.99* 0.11* -0.08),(-0.07* 0.79* -0.61)
Down,1,62.55819,(-0.99* 0.12* -0.09),(-0.57* -0.82* 0.05)
Down,2,67.63975,(-0.99* 0.10* -0.08),(-0.48* -0.88* 0.07)
Down,3,69.08993,(-0.99* 0.11* -0.05),(-0.46* -0.88* 0.08)
UpRight,1,68.30766,(-0.99* 0.14* -0.07),(-0.34* 0.61* 0.72)
UpRight,2,72.49008,(-0.99* 0.14* -0.07),(-0.27* 0.62* 0.74)
UpRight,3,76.24259,(-0.99* 0.14* -0.07),(-0.21* 0.60* 0.77)
Right,1,89.17561,(-0.99* 0.11* -0.07),(-0.09* -0.05* 0.99)
Right,2,97.61957,(-0.99* 0.11* -0.07),(0.06* -0.03* 1.00)
Right,3,96.08014,(-0.99* 0.13* -0.07),(0.03* -0.05* 1.00)
Up,1,79.83575,(-0.99* 0.12* -0.06),(-0.07* 0.98* 0.18)
Up,2,83.2815,(-0.99* 0.09* -0.06),(-0.04* 0.98* 0.19)
Up,3,-75.227,(-0.99* 0.11* -0.07),(-0.16* 0.98* 0.15)
DownLeft,1,-86.74017,(-0.99* 0.13* -0.08),(-0.11* -0.78* -0.62)
DownLeft,2,-88.4088,(-0.99* 0.11* -0.08),(-0.06* -0.76* -0.65)
DownLeft,3,-89.48734,(-0.99* 0.11* -0.07),(-0.05* -0.77* -0.63)
Left,1,-92.41221,(-0.99* 0.11* -0.06),(0.10* -0.02* -0.99)
Left,2,-91.13511,(-0.99* 0.12* -0.10),(0.12* 0.00* -0.99)
Left,3,-91.71871,(-0.99* 0.11* -0.07),(0.10* -0.01* -1.00)
