Direction,tCount,MaxViewingRange,StartVector,EndVector
Left,1,-46.35373,(0.25* 0.97* -0.06),(0.76* 0.54* 0.36)
Left,2,-71.26547,(0.26* 0.96* -0.06),(0.84* 0.14* 0.53)
Left,3,-80.59841,(0.26* 0.96* -0.06),(0.83* -0.02* 0.56)
DownRight,1,66.51028,(0.26* 0.96* -0.06),(-0.05* 0.37* -0.93)
DownRight,2,63.14722,(0.25* 0.97* -0.06),(-0.03* 0.42* -0.91)
DownRight,3,72.36434,(0.25* 0.96* -0.08),(-0.10* 0.26* -0.96)
UpLeft,1,-64.67461,(0.23* 0.97* -0.04),(0.32* 0.40* 0.86)
UpLeft,2,-63.6309,(0.25* 0.97* -0.04),(0.32* 0.41* 0.85)
UpLeft,3,-72.61248,(0.24* 0.97* -0.04),(0.30* 0.27* 0.91)
Down,1,-17.23304,(0.25* 0.97* -0.05),(0.40* 0.87* -0.29)
Down,2,-20.98121,(0.25* 0.97* -0.05),(0.43* 0.84* -0.34)
Down,3,-27.23233,(0.24* 0.97* -0.05),(0.46* 0.78* -0.42)
UpRight,1,52.45759,(0.24* 0.97* -0.04),(-0.60* 0.78* 0.15)
UpRight,2,64.70469,(0.23* 0.97* -0.06),(-0.75* 0.63* 0.20)
UpRight,3,57.51715,(0.24* 0.97* -0.05),(-0.67* 0.73* 0.16)
Right,1,85.3945,(0.26* 0.96* -0.06),(-0.81* 0.27* -0.53)
Right,2,79.24265,(0.24* 0.97* -0.06),(-0.77* 0.35* -0.53)
Right,3,83.13329,(0.23* 0.97* -0.06),(-0.80* 0.28* -0.54)
Up,1,-47.72734,(0.23* 0.97* -0.06),(-0.20* 0.78* 0.60)
Up,2,56.12539,(0.27* 0.96* -0.07),(-0.25* 0.70* 0.67)
Up,3,-58.05112,(0.24* 0.97* -0.08),(-0.27* 0.67* 0.69)
DownLeft,1,-52.33372,(0.25* 0.97* -0.05),(0.91* 0.39* -0.14)
DownLeft,2,-67.68868,(0.26* 0.96* -0.05),(0.98* 0.12* -0.14)
DownLeft,3,-75.88129,(0.24* 0.97* -0.05),(0.99* 0.00* -0.11)
