Direction,tCount,MaxViewingRange,StartVector,EndVector
Down,1,169.999,(-0.90* 0.10* -0.43),(0.86* 0.05* 0.51)
Down,2,169.7146,(-0.90* 0.07* -0.43),(0.86* 0.09* 0.50)
Down,3,165.437,(-0.90* 0.11* -0.42),(0.86* 0.13* 0.49)
UpRight,1,173.6604,(-0.90* 0.09* -0.42),(0.85* -0.13* 0.51)
UpRight,2,175.9966,(-0.90* 0.15* -0.40),(0.88* -0.21* 0.43)
UpRight,3,172.6313,(-0.91* 0.11* -0.41),(0.85* -0.08* 0.52)
Right,1,-175.5935,(-0.89* 0.14* -0.43),(0.92* -0.09* 0.38)
Right,2,178.1894,(-0.92* 0.10* -0.37),(0.91* -0.10* 0.40)
Right,3,-175.5224,(-0.91* 0.13* -0.39),(0.94* -0.09* 0.33)
Up,1,131.0492,(-0.90* 0.09* -0.43),(0.62* 0.69* 0.38)
Up,2,124.7678,(-0.90* 0.15* -0.40),(0.59* 0.72* 0.36)
Up,3,-126.4877,(-0.89* 0.13* -0.43),(0.60* 0.72* 0.36)
DownLeft,1,161.3832,(-0.89* 0.12* -0.44),(0.76* 0.09* 0.65)
DownLeft,2,150.8546,(-0.88* 0.11* -0.46),(0.64* 0.24* 0.73)
DownLeft,3,134.9221,(-0.90* 0.07* -0.44),(0.43* 0.42* 0.80)
Left,1,149.1523,(-0.90* 0.08* -0.43),(0.55* -0.07* 0.83)
Left,2,159.3122,(-0.89* 0.07* -0.44),(0.68* -0.06* 0.73)
Left,3,145.3844,(-0.90* 0.11* -0.42),(0.50* -0.10* 0.86)
DownRight,1,-164.6027,(-0.90* 0.11* -0.42),(0.93* 0.14* 0.33)
DownRight,2,-136.6344,(-0.90* 0.07* -0.43),(0.87* 0.48* -0.06)
DownRight,3,-143.5681,(-0.91* 0.09* -0.41),(0.89* 0.44* 0.08)
UpLeft,1,168.2414,(-0.90* 0.08* -0.42),(0.81* -0.21* 0.55)
UpLeft,2,167.4015,(-0.90* 0.13* -0.43),(0.78* -0.25* 0.57)
UpLeft,3,160.9389,(-0.90* 0.13* -0.41),(0.72* -0.30* 0.63)
