Direction,tCount,MaxViewingRange,StartVector,EndVector
DownLeft,1,-61.49004,(-0.01* 1.00* -0.06),(0.22* 0.53* 0.82)
DownLeft,2,-86.58123,(-0.05* 1.00* -0.08),(0.28* 0.15* 0.95)
DownLeft,3,-83.52662,(-0.04* 1.00* -0.07),(0.28* 0.19* 0.94)
Left,1,-64.93949,(-0.05* 0.99* -0.11),(-0.43* 0.49* 0.76)
Left,2,-67.4437,(-0.06* 0.99* -0.08),(-0.46* 0.42* 0.78)
Left,3,-78.77822,(-0.02* 1.00* -0.09),(-0.49* 0.26* 0.83)
DownRight,1,68.45829,(-0.04* 1.00* -0.07),(0.82* 0.37* -0.43)
DownRight,2,68.96569,(-0.06* 1.00* -0.05),(0.83* 0.39* -0.40)
DownRight,3,69.84142,(-0.07* 0.99* -0.10),(0.82* 0.36* -0.44)
UpLeft,1,-30.98145,(-0.04* 0.99* -0.11),(-0.51* 0.86* 0.11)
UpLeft,2,-40.68885,(0.01* 1.00* -0.06),(-0.61* 0.77* 0.15)
UpLeft,3,-63.07341,(0.03* 1.00* -0.05),(-0.84* 0.49* 0.23)
Down,1,-59.6424,(-0.02* 1.00* -0.08),(0.77* 0.55* 0.33)
Down,2,65.505,(-0.07* 0.99* -0.08),(0.80* 0.50* 0.33)
Down,3,62.88229,(-0.07* 0.99* -0.08),(0.78* 0.54* 0.32)
UpRight,1,65.23297,(-0.02* 1.00* -0.06),(-0.33* 0.36* -0.87)
UpRight,2,63.04634,(-0.04* 1.00* -0.06),(-0.36* 0.39* -0.85)
UpRight,3,60.16581,(-0.06* 1.00* -0.06),(-0.34* 0.43* -0.84)
Right,1,70.23688,(-0.05* 1.00* -0.06),(0.31* 0.30* -0.90)
Right,2,71.13696,(-0.06* 1.00* -0.07),(0.31* 0.28* -0.91)
Right,3,70.09616,(-0.03* 1.00* -0.08),(0.32* 0.28* -0.91)
Up,1,-52.74954,(0.02* 1.00* -0.09),(-0.72* 0.59* -0.37)
Up,2,44.47921,(-0.04* 1.00* -0.07),(-0.67* 0.67* -0.34)
Up,3,43.99491,(-0.01* 1.00* -0.03),(-0.63* 0.70* -0.32)
