Direction,tCount,MaxViewingRange,StartVector,EndVector
Down,1,-166.7659,(0.06* 1.00* -0.08),(0.01* -0.99* -0.14)
Down,2,-167.1897,(0.03* 1.00* -0.05),(0.01* -0.99* -0.17)
Down,3,-162.3197,(0.06* 0.99* -0.09),(0.04* -0.98* -0.20)
UpRight,1,87.41519,(0.06* 1.00* -0.08),(0.93* -0.04* -0.37)
UpRight,2,82.00014,(0.08* 0.99* -0.09),(0.92* 0.03* -0.40)
UpRight,3,86.48144,(0.06* 1.00* -0.07),(0.93* -0.02* -0.37)
Right,1,100.2132,(0.07* 0.99* -0.09),(0.91* -0.21* 0.37)
Right,2,100.3481,(0.07* 0.99* -0.09),(0.90* -0.21* 0.37)
Right,3,96.36997,(0.07* 1.00* -0.06),(0.90* -0.15* 0.40)
Up,1,64.04873,(0.08* 0.99* -0.08),(0.41* 0.34* -0.85)
Up,2,62.11165,(0.04* 1.00* -0.05),(0.41* 0.41* -0.81)
Up,3,-40.07857,(0.04* 1.00* -0.06),(0.28* 0.72* -0.64)
DownLeft,1,-93.73309,(0.05* 1.00* -0.07),(-0.97* 0.00* 0.24)
DownLeft,2,-90.09129,(0.03* 1.00* -0.05),(-0.97* 0.04* 0.25)
DownLeft,3,-93.40419,(0.01* 1.00* -0.08),(-0.97* -0.03* 0.25)
Left,1,-91.8923,(0.02* 1.00* -0.07),(-0.87* -0.05* -0.49)
Left,2,-102.6238,(0.02* 1.00* -0.08),(-0.85* -0.24* -0.47)
Left,3,-105.6792,(0.03* 1.00* -0.09),(-0.84* -0.29* -0.47)
DownRight,1,138.0478,(0.01* 1.00* -0.08),(0.20* -0.69* 0.69)
DownRight,2,144.0229,(0.01* 1.00* -0.04),(0.18* -0.79* 0.59)
DownRight,3,147.7867,(0.03* 1.00* -0.02),(0.12* -0.84* 0.53)
UpLeft,1,-3.471529,(0.03* 1.00* -0.03),(0.02* 1.00* -0.09)
UpLeft,2,-2.40371,(0.03* 1.00* -0.08),(0.02* 0.99* -0.12)
UpLeft,3,-78.7684,(0.03* 0.99* -0.11),(-0.31* 0.10* -0.94)
