Direction,tCount,MaxViewingRange,StartVector,EndVector
DownLeft,1,-67.12099,(0.03* 0.05* 1.00),(-0.66* -0.61* 0.44)
DownLeft,2,-60.18512,(0.01* 0.05* 1.00),(-0.63* -0.56* 0.53)
DownLeft,3,-68.58846,(0.03* 0.07* 1.00),(-0.67* -0.61* 0.43)
Left,1,-144.4674,(0.01* 0.03* 1.00),(-0.59* 0.00* -0.81)
Left,2,-158.7595,(-0.03* 0.06* 1.00),(-0.33* -0.01* -0.94)
Left,3,-166.1568,(-0.03* 0.06* 1.00),(-0.21* -0.04* -0.98)
DownRight,1,83.26669,(-0.04* 0.05* 1.00),(0.69* -0.70* 0.18)
DownRight,2,83.38647,(0.03* 0.05* 1.00),(0.69* -0.71* 0.13)
DownRight,3,84.23454,(0.03* 0.07* 1.00),(0.70* -0.71* 0.13)
UpLeft,1,-110.1346,(0.07* 0.00* 1.00),(-0.65* 0.70* -0.30)
UpLeft,2,-116.0311,(0.00* 0.08* 1.00),(-0.60* 0.63* -0.49)
UpLeft,3,-125.0933,(0.00* 0.06* 1.00),(-0.55* 0.57* -0.61)
Down,1,73.74346,(0.03* 0.04* 1.00),(-0.03* -0.95* 0.32)
Down,2,80.24007,(0.04* 0.03* 1.00),(-0.02* -0.98* 0.20)
Down,3,87.70267,(0.06* 0.07* 1.00),(-0.01* -0.99* 0.11)
UpRight,1,123.0631,(0.05* 0.06* 1.00),(0.62* 0.50* -0.61)
UpRight,2,138.6221,(0.09* 0.07* 0.99),(0.45* 0.35* -0.82)
UpRight,3,153.0231,(0.03* 0.08* 1.00),(0.29* 0.25* -0.92)
Right,1,155.5669,(0.07* 0.05* 1.00),(0.35* -0.03* -0.94)
Right,2,161.9039,(0.01* 0.04* 1.00),(0.30* -0.03* -0.95)
Right,3,165.5407,(0.01* 0.06* 1.00),(0.24* -0.05* -0.97)
Up,1,114.2256,(0.08* 0.05* 1.00),(0.03* 0.89* -0.46)
Up,2,-123.5921,(0.03* 0.02* 1.00),(0.02* 0.82* -0.57)
Up,3,117.7828,(0.06* -0.02* 1.00),(0.03* 0.89* -0.45)
